genus	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
g_Cellulomonas	296.7749	235.7169	13189.4025	15673.4917	1607.0912	13269.7965	6126.727	25.8737	1902.9133	460.233	8.4853	43.4762	71.3255	8877.5946	420.1465	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Cellulomonadaceae;g_Cellulomonas
g_Aeromonas	769.3339	3964.5096	8437.6611	8671.5424	4717.8786	8363.3579	8185.1154	84.9246	3935.6865	357.3188	14.2265	21.1865	107.8178	6226.4771	74.739	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Aeromonadaceae;g_Aeromonas
g_Unclassified_f_Helicobacteraceae	598.37	297.3011	577.6237	273.3916	33897.467	248.8029	1440.6251	260.5013	114.1268	6.1104	23.8255	736.4652	24.3192	14164.0597	102.456	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Helicobacteraceae;g_Unclassified_f_Helicobacteraceae
g_Pseudomonas E	4175.7591	1585.8681	718.2337	686.6347	438.1421	798.2972	252.3715	314.687	633.8701	402.3064	45.6364	7620.7073	5683.1795	432.923	28411.3121	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas E
g_Unclassified_c_Clostridia	2806.3921	682.6594	1608.2389	3837.1895	460.6383	4373.4659	3961.8658	13155.2412	954.6144	387.1995	6307.8494	281.2479	6829.2482	2222.4113	2208.9801	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Unclassified_c_Clostridia;f_Unclassified_c_Clostridia;g_Unclassified_c_Clostridia
g_Unclassified_o_Actinomycetales	12683.4402	6305.5611	717.8452	980.3787	469.6485	189.033	1024.9179	713.827	4676.8637	6086.3964	103.3792	1097.8847	4481.8087	851.3449	9274.0865	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Unclassified_o_Actinomycetales;g_Unclassified_o_Actinomycetales
g_Unclassified_f_Lactobacillaceae	0	0	300.9999	0	148.508	124.4436	2604.3611	6273.27	486.1376	22193.873	826.0944	10377.9876	5836.8123	295.1943	33.7983	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Lactobacillaceae;g_Unclassified_f_Lactobacillaceae
g_Streptococcus	1152.9979	19097.858	5649.5535	4783.5282	1449.5815	3741.7556	1963.5108	370.6764	2984.1552	3289.7309	20.7299	52.6084	451.9737	3229.7857	73.2964	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Streptococcaceae;g_Streptococcus
g_Unclassified_f_Clostridiaceae	1115.5672	8.2671	622.8003	147.4478	29.569	0	1721.2679	22088.5011	40.3223	7.7057	7876.238	303.2873	12917.3703	719.0298	300.0926	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Clostridiales;f_Clostridiaceae;g_Unclassified_f_Clostridiaceae
g_Luteimonas	13227.0074	586.4565	45.0678	63.4157	30.7749	9.21	0	1455.6052	92.8275	223.0311	56.3323	29623.2801	400.1298	0	535.5417	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Xanthomonadaceae;g_Luteimonas
g_Unclassified_f_Peptostreptococcaceae	11823.9221	8.2089	1720.9198	0	59.8713	0	2714.2167	12140.4064	111.2957	376.0225	4950.4187	15.2231	3810.3923	575.4085	7488.1973	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Peptostreptococcaceae;g_Unclassified_f_Peptostreptococcaceae
