phylum	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
p_Methylomirabilota	0	0	81.0436	358.4998	63.9452	258.6821	297.2859	0	206.2279	70.3249	0	0	0	424.8538	8.8577	d_Bacteria;p_Methylomirabilota
p_Fermentibacterota	7.421	0	59.9736	392.6097	12.1549	574.5767	49.7747	0	123.4085	0	0	0	0	527.1773	0	d_Bacteria;p_Fermentibacterota
p_UBP14	0	0	221.4129	440.2629	0	637.4667	168.8911	0	69.7898	0	0	0	0	130.8701	0	d_Bacteria;p_UBP14
p_Firestonebacteria	0	0	143.4962	409.5445	12.4639	605.0532	153.1204	0	52.7275	0	0	0	0	262.6902	0	d_Bacteria;p_Firestonebacteria
p_Firmicutes E	25.6672	279.4152	258.0374	187.9444	42.0407	198.54	200.9869	2.1256	134.2754	0	0	0	9.8326	104.2379	84.3089	d_Bacteria;p_Firmicutes E
p_Firmicutes D	56.3558	102.4912	188.0449	0	12.8561	562.9576	164.5197	0	187.5788	35.7299	0	0	0	209.2702	0	d_Bacteria;p_Firmicutes D
p_Goldbacteria	0	0	69.9114	238.3091	85.0139	619.0428	87.0338	0	71.9289	0	0	0	0	338.9007	0	d_Bacteria;p_Goldbacteria
p_Zixibacteria	27.3293	0	375.352	0	188.8106	233.3593	51.9201	0	215.3132	70.8249	0	0	0	329.3787	0	d_Bacteria;p_Zixibacteria
p_Dormibacterota	5.5292	0	238.3188	54.8937	90.8995	574.4629	169.8444	0	84.2861	0	0	3.341	0	110.9232	58.862	d_Bacteria;p_Dormibacterota
p_Calditrichota	0	0	283.469	0	57.4508	371.8556	0	0	0	0	0	0	0	522.1718	0	d_Bacteria;p_Calditrichota
p_Margulisbacteria	0	0	0	0	36.7685	68.7825	150.5684	0	62.2185	0	0	0	0	847.2517	0	d_Bacteria;p_Margulisbacteria
p_Tectomicrobia	0	0	259.7095	66.4424	124.9851	235.9377	258.6626	0	77.9418	0	0	0	0	58.5623	0	d_Bacteria;p_Tectomicrobia
p_Abyssubacteria	0	0	0	0	0	620.8372	261.8581	0	0	0	0	0	0	0	0	d_Bacteria;p_Abyssubacteria
p_Firmicutes F	8.1188	0	0	0	57.2272	382.6167	0	180.5462	72.6286	0	33.9166	0.9145	0	0	3.2842	d_Bacteria;p_Firmicutes F
p_Hydrogenedentota	34.2724	56.0535	220.1701	0	56.1351	57.764	36.5457	0	171.5387	9.7705	0	0	0	23.7176	0	d_Bacteria;p_Hydrogenedentota
p_UBP7	0	0	0	452.0557	48.3796	0	99.0582	0	0	0	0	0	0	64.2871	0	d_Bacteria;p_UBP7
p_UBP15	0	0	47.805	217.2726	0	305.7153	59.5132	0	24.5923	0	0	0	0	0	0	d_Bacteria;p_UBP15
p_Krumholzibacteriota	0	0	159.1405	0	0	0	0	0	0	0	0	0	0	450.0096	0	d_Bacteria;p_Krumholzibacteriota
p_Cloacimonadota	0	0	168.7629	63.9186	0	166.0378	70.0318	0	0	0	0	0	0	45.4495	1.8489	d_Bacteria;p_Cloacimonadota
p_Ratteibacteria	42.5966	139.4425	137.7003	0	41.8617	0	28.5709	0	59.0308	24.3058	0	0	6.4221	18.542	0.5029	d_Bacteria;p_Ratteibacteria
p_4484-113	0	0	0	347.4226	0	0	0	0	139.8168	0	0	0	0	0	0	d_Bacteria;p_4484-113
p_Caldisericota	77.4083	337.8675	0	0	0	0	51.9201	0	0	0	0	0	0	0	0	d_Bacteria;p_Caldisericota
p_JACPQY01	0	0	0	25.639	0	44.4007	0	0	0	0	0	0	0	364.6133	0	d_Bacteria;p_JACPQY01
p_Desulfobacterota D	0	0	0	0	0	408.5624	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Desulfobacterota D
p_AABM5-125-24	0	0	0	0	312.9233	0	0	0	0	22.7113	0	0	0	51.9768	0	d_Bacteria;p_AABM5-125-24
p_Bdellovibrionota E	0	0	0	78.0823	41.7824	0	0	0	212.1084	0	0	0	0	55.5207	0	d_Bacteria;p_Bdellovibrionota E
p_JABDJQ01	25.5095	0	68.7198	0	0	0	85.5502	0	0	194.0785	0	0	0	0	0	d_Bacteria;p_JABDJQ01
p_Thermotogota	0	0	0	0	0	0	0	0	0	0	292.4293	15.2578	14.2204	0	5.5535	d_Bacteria;p_Thermotogota
p_Wallbacteria	0	0	0	238.3091	85.0139	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Wallbacteria
p_CSP1-3	0	0	0	0	0	0	0	0	0	0	0	1.4127	0	297.3976	7.9577	d_Bacteria;p_CSP1-3
p_Deferribacterota	0	0	0	0	46.6408	0	0	0	0	0	0	0	0	247.9062	0.5603	d_Bacteria;p_Deferribacterota
p_Eisenbacteria	0	0	150.5561	0	36.9533	0	0	0	0	85.8237	0	0	0	0	0.3329	d_Bacteria;p_Eisenbacteria
p_Nitrospinota B	0	0	59.5797	0	0	0	0	0	0	0	0	0	0	96.2723	0	d_Bacteria;p_Nitrospinota B
p_UBA8248	0	0	0	0	0	0	0	0	114.7472	0	0	0	0	0	0	d_Bacteria;p_UBA8248
p_NPL-UPA2	0	0	0	0	0	37.5375	0	0	0	0	0	0	0	30.8254	0	d_Bacteria;p_NPL-UPA2
p_Aerophobota	0	0	0	0	48.3796	0	0	0	0	0	0	0	0	0	0	d_Bacteria;p_Aerophobota
p_Sumerlaeota	0	0	0	0	13.6432	0	27.9348	0	0	0	0	0	0	0	0	d_Bacteria;p_Sumerlaeota
p_Chrysiogenota	0	0	0	0	0	0	26.4619	0	0	0	0	0	0	0	3.2602	d_Bacteria;p_Chrysiogenota
p_Nitrospirota A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.0987	d_Bacteria;p_Nitrospirota A
p_DTU030	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.2207	d_Bacteria;p_DTU030
