class	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
c_Binatia	26.908	499.906	1884.8571	1777.1356	182.4389	1030.0195	542.2971	0	489.2941	163.3824	0	0	4.6299	931.6992	1.7435	d_Bacteria;p_Desulfobacterota B;c_Binatia
c_Magnetococcia	108.2788	465.6919	746.9024	1376.8133	748.9262	1016.6616	1376.4208	7.8623	428.1365	0	0	18.2435	25.4259	931.0096	0	d_Bacteria;p_Proteobacteria;c_Magnetococcia
c_ABY1	199.0458	907.0065	980.5404	1003.44	131.7952	2374.8287	399.4283	0	404.3931	199.8422	4.212	0	27.7414	592.4833	6.003	d_Bacteria;p_Patescibacteria;c_ABY1
c_Desulfuromonadia	30.2845	308.0986	905.6365	1128.4684	409.6556	909.4454	1430.3915	7.951	204.5808	30.452	0	2.5586	0	1432.5497	28.0246	d_Bacteria;p_Desulfobacterota;c_Desulfuromonadia
c_UBA2214	1.8333	0	1864.6501	1227.8621	122.6096	1402.8012	704.9081	4.0289	99.4693	0	318.6847	11.5273	189.0233	807.6442	1.1549	d_Bacteria;p_KSB1;c_UBA2214
c_Elusimicrobia	0	0	894.9855	1496.5373	105.5555	1255.1541	791.9296	0	321.8112	0	4.2468	0	0	1073.2378	50.4423	d_Bacteria;p_Elusimicrobiota;c_Elusimicrobia
c_Holophagae	214.1516	1369.4944	507.2447	476.9916	657.5396	795.6725	620.8007	64.2837	299.5604	294.4639	1.7719	13.5998	14.9095	642.1789	1.6619	d_Bacteria;p_Acidobacteriota;c_Holophagae
c_Chloroflexia	224.7629	974.7551	460.8646	723.7513	233.5256	1634.1947	633.1381	7.1452	118.5525	83.0557	0	5.8903	18.0442	372.4386	91.4271	d_Bacteria;p_Chloroflexota;c_Chloroflexia
c_Desulfobacteria	139.977	951.417	1001.1201	202.9484	575.0593	1194.7588	514.0343	63.9166	144.8598	36.3616	1.2177	46.9648	38.9364	567.5634	23.4557	d_Bacteria;p_Desulfobacterota;c_Desulfobacteria
c_Unclassified_p_Bacteroidota	32.0967	42.1245	1078.873	781.6889	165.9371	839.5257	724.6756	6.4528	216.7098	0	0	200.3461	0	1256.7761	21.7222	d_Bacteria;p_Bacteroidota;c_Unclassified_p_Bacteroidota
c_Blastocatellia	102.1578	695.6779	818.4797	775.2356	199.1072	1141.2562	639.235	9.7017	137.4913	117.5154	6.54	6.8256	0	699.772	1.9944	d_Bacteria;p_Acidobacteriota;c_Blastocatellia
c_Desulfovibrionia	25.5095	278.3568	611.4499	422.3791	292.4766	1211.2224	940.4939	121.3865	614.8017	35.9808	6.2285	48.2467	24.3544	595.0511	6.4073	d_Bacteria;p_Desulfobacterota I;c_Desulfovibrionia
c_Ktedonobacteria	162.3902	0	1730.015	182.6865	1017.5554	316.9509	1134.8133	0	2.9942	0	0	4.1077	0	426.3044	57.3357	d_Bacteria;p_Chloroflexota;c_Ktedonobacteria
c_Rhodothermia	54.9757	699.8684	762.6089	658.323	415.9388	821.9829	471.0699	8.6325	62.6519	0	0	34.5157	24.4906	993.3055	0	d_Bacteria;p_Bacteroidota;c_Rhodothermia
c_Vampirovibrionia	0	109.3544	517.721	431.8514	174.8357	1485.7069	1368.3883	51.3342	122.9833	57.1838	0	0	0	580.9536	0	d_Bacteria;p_Cyanobacteria;c_Vampirovibrionia
c_UBA9160	109.0357	2100.8353	454.5478	0	29.2976	935.3782	139.6361	0	526.8563	131.3762	0	2.2527	0	300.205	0	d_Bacteria;p_Myxococcota A;c_UBA9160
c_XYA12-FULL-58-9	93.0149	573.3585	230.2256	1758.7167	332.83	611.3404	437.8439	0	137.8163	104.7871	0	2.2527	0	421.1435	0	d_Bacteria;p_Myxococcota;c_XYA12-FULL-58-9
c_Nitrospinia	13.402	0	1121.9178	953.1409	165.0194	561.9488	478.8072	24.6884	517.8763	49.8412	0	0	0	658.1136	0.5156	d_Bacteria;p_Nitrospinota;c_Nitrospinia
c_Nitrospiria	53.3296	141.5919	820.6078	615.465	193.1627	1122.381	499.0555	0	557.4999	123.4025	0	2.9234	1.0748	304.1951	0.2525	d_Bacteria;p_Nitrospirota;c_Nitrospiria
c_Microgenomatia	43.7166	927.8841	323.7367	952.0426	231.375	478.3849	547.0247	0	227.0629	94.5764	0	3.0744	0	488.1558	1.2082	d_Bacteria;p_Patescibacteria;c_Microgenomatia
c_Unclassified_p_Nitrospinota	0	0	962.0766	780.8235	41.7824	1216.9819	513.3013	0	212.1084	0	0	0	0	499.686	0	d_Bacteria;p_Nitrospinota;c_Unclassified_p_Nitrospinota
c_Humimicrobiia	37.3277	304.9219	683.813	361.7939	34.6873	794.5675	850.5661	104.5044	482.0774	35.4334	0	0	27.6282	426.2763	0.3118	d_Bacteria;p_Actinobacteriota;c_Humimicrobiia
c_Vicinamibacteria	116.7025	443.2716	270.7521	321.6328	240.6533	781.8741	1410.3099	20.4455	148.792	29.1725	0	2.0985	6.8098	209.2485	61.3034	d_Bacteria;p_Acidobacteriota;c_Vicinamibacteria
c_Bradymonadia	5.2572	99.7099	682.1061	333.5557	263.7241	1094.6357	945.4403	0	29.4569	40.5537	0	0.5881	0	452.198	0.1541	d_Bacteria;p_Myxococcota;c_Bradymonadia
c_UBA1177	0	0	895.2567	1082.0438	68.101	323.6435	1069.9596	0	295.1601	0	0	0	0	192.5978	0	d_Bacteria;p_UBP6;c_UBA1177
c_Deinococci	1511.197	22.3294	506.6607	461.9325	382.735	0	0	89.0226	310.2945	173.1448	1.0864	41.4742	49.3709	286.2502	53.1755	d_Bacteria;p_Deinococcota;c_Deinococci
c_Unclassified_p_Chloroflexota	56.0999	83.4596	1316.9828	253.1452	70.6586	666.7396	626.8192	0	91.1439	0	0	0	5.7657	537.2318	0	d_Bacteria;p_Chloroflexota;c_Unclassified_p_Chloroflexota
c_Leptospirae	0	241.3339	473.3835	1167.3548	102.1007	519.2253	418.1709	0	218.4158	42.0663	0	0	0	430.008	0	d_Bacteria;p_Spirochaetota;c_Leptospirae
c_Sericytochromatia	4.7864	0	836.1849	348.6901	76.1319	645.2808	788.3162	0	99.4965	0	5.3807	0	0	678.9825	0	d_Bacteria;p_Cyanobacteria;c_Sericytochromatia
c_Desulfotomaculia	0	25.463	690.0936	1659.6142	121.5487	383.5988	161.9325	4.6347	61.8064	62.1374	0	0	0	226.2275	0	d_Bacteria;p_Firmicutes B;c_Desulfotomaculia
c_Babeliae	0	0	618.618	379.3748	102.707	1181.7173	180.7468	0	0	0	11.9502	11.707	18.2943	239.4913	599.7945	d_Bacteria;p_Dependentiae;c_Babeliae
c_Chitinivibrionia	2.4588	0	915.0904	258.3759	55.7472	760.6556	646.4472	0	236.1046	0	7.2716	0.277	15.9644	308.3878	5.3471	d_Bacteria;p_Fibrobacterota;c_Chitinivibrionia
c_Koll11	29.5374	678.7053	652.2577	171.4318	223.3696	23.7988	844.1912	0	0	45.4226	0	0	0	500.0605	0	d_Bacteria;p_Omnitrophota;c_Koll11
c_Limnochordia	30.6463	0	1365.6945	307.6119	201.7482	370.2624	406.3424	20.2389	212.3497	61.288	0	0	0	85.3271	0	d_Bacteria;p_Firmicutes G;c_Limnochordia
c_Brachyspirae	1036.0801	0	480.3181	0	725.981	442.2066	140.1457	5.3953	0	0	1.7186	12.0407	22.6385	115.8799	2.7828	d_Bacteria;p_Spirochaetota;c_Brachyspirae
c_Desulfarculia	36.6505	0	337.0717	909.513	65.1163	383.6808	617.347	0	80.4891	0	0	0	0	486.2214	0	d_Bacteria;p_Desulfobacterota;c_Desulfarculia
c_UBA994	7.1378	0	534.8521	485.128	56.8081	574.5808	328.3823	8.8615	623.6569	0	0.6191	0	10.1028	112.8404	0.3955	d_Bacteria;p_Firmicutes H;c_UBA994
c_Bdellovibrionia A	58.5258	49.8888	293.9948	782.1514	298.8351	239.3104	479.2347	0	35.8608	17.392	0	90.9767	0	281.6034	4.107	d_Bacteria;p_Bdellovibrionota;c_Bdellovibrionia A
c_Desulfobulbia	136.6191	409.622	231.1085	175.0636	156.0319	114.4266	289.5786	0	447.8542	99.9602	0	11.7009	0	378.2882	2.9802	d_Bacteria;p_Desulfobacterota;c_Desulfobulbia
c_UBA8477	0	0	147.4961	727.8254	119.6943	556.4692	0	0	505.3663	0	2.0974	0	0	279.1896	0	d_Bacteria;p_Marinisomatota;c_UBA8477
c_CAIYQO01	60.9459	1108.3889	0	0	99.824	53.8433	204.3915	0	84.4594	656.8811	0	0	0	0	0	d_Bacteria;p_Armatimonadota;c_CAIYQO01
c_Bdellovibrionia	13.772	0	410.7036	194.9755	204.917	229.3734	153.4855	0	164.6145	13.0973	0	2.1706	0	844.1942	0	d_Bacteria;p_Bdellovibrionota;c_Bdellovibrionia
c_Fimbriimonadia	0	0	498.829	0	27.9608	770.5461	131.3096	0	503.8949	0	0	0	0	212.7764	0	d_Bacteria;p_Armatimonadota;c_Fimbriimonadia
c_Limnocylindria	72.7628	384.4569	131.598	127.0613	96.5012	136.3682	701.4709	0	160.2224	69.2299	0	2.5287	8.5682	221.0105	8.8843	d_Bacteria;p_Chloroflexota;c_Limnocylindria
c_Ozemobacteria	116.0437	244.3431	306.1944	608.8446	86.8547	376.5626	190.5929	0	112.0281	0	0	0	11.3192	0	2.2158	d_Bacteria;p_Riflebacteria;c_Ozemobacteria
c_Xenobia	0	0	35.1589	625.8285	0	114.2213	157.3643	0	140.3424	0	0	0	0	776.7845	0	d_Bacteria;p_Eremiobacterota;c_Xenobia
c_Thermoleophilia	11.6456	140.2408	0	412.2748	150.5391	172.116	0	4.8676	203.5295	0	0	43.0122	19.667	601.1531	60.5093	d_Bacteria;p_Actinobacteriota;c_Thermoleophilia
c_Methylomirabilia	0	0	81.0436	358.4998	63.9452	258.6821	297.2859	0	206.2279	70.3249	0	0	0	424.8538	8.8577	d_Bacteria;p_Methylomirabilota;c_Methylomirabilia
c_Moorellia	0	0	342.0089	437.5316	0	338.7678	240.5825	0	15.9945	0	0	0	0	373.1465	0	d_Bacteria;p_Firmicutes B;c_Moorellia
c_Fermentibacteria	7.421	0	59.9736	392.6097	12.1549	574.5767	49.7747	0	123.4085	0	0	0	0	527.1773	0	d_Bacteria;p_Fermentibacterota;c_Fermentibacteria
c_UBA6777	0	0	310.2589	0	0	178.3286	836.3356	0	50.8598	0	0	0	0	302.1914	0	d_Bacteria;p_Myxococcota;c_UBA6777
c_UBA6098	0	0	221.4129	440.2629	0	637.4667	168.8911	0	69.7898	0	0	0	0	130.8701	0	d_Bacteria;p_UBP14;c_UBA6098
c_D2-FULL-39-29	0	0	143.4962	409.5445	12.4639	605.0532	153.1204	0	52.7275	0	0	0	0	262.6902	0	d_Bacteria;p_Firestonebacteria;c_D2-FULL-39-29
c_Oligoflexia	0	0	281.2716	174.3234	170.721	72.894	248.4093	0	126.1952	0	11.8811	2.9234	14.6725	509.7818	2.1902	d_Bacteria;p_Bdellovibrionota;c_Oligoflexia
c_Hydrothermia	8.7689	0	828.4025	590.4978	0	0	105.2926	0	12.152	0	0	0	0	0	0	d_Bacteria;p_WOR-3;c_Hydrothermia
c_UBA2968	9.5525	0	324.2542	72.456	62.5847	335.457	473.3596	0	21.8694	0	0	0	0	225.1821	0	d_Bacteria;p_Latescibacterota;c_UBA2968
c_PGYV01	0	0	69.9114	238.3091	85.0139	619.0428	87.0338	0	71.9289	0	0	0	0	338.9007	0	d_Bacteria;p_Goldbacteria;c_PGYV01
c_Chlorobia	6.844	0	392.7711	543.5253	43.599	0	0	117.76	0	0	1.1445	21.1607	17.8562	352.1503	5.8577	d_Bacteria;p_Bacteroidota;c_Chlorobia
c_MSB-5A5	27.3293	0	375.352	0	188.8106	233.3593	51.9201	0	215.3132	70.8249	0	0	0	329.3787	0	d_Bacteria;p_Zixibacteria;c_MSB-5A5
c_Thermodesulfovibrionia	0	943.8593	0	0	105.0528	0	121.4261	84.2777	0	152.4903	23.5715	0	0	0	0	d_Bacteria;p_Nitrospirota;c_Thermodesulfovibrionia
c_Dormibacteria	5.5292	0	238.3188	54.8937	90.8995	574.4629	169.8444	0	84.2861	0	0	3.341	0	110.9232	58.862	d_Bacteria;p_Dormibacterota;c_Dormibacteria
c_Coriobacteriia	105.4964	181.4796	50.818	104.5057	87.8928	0	91.6194	78.3252	24.0638	17.3818	400.3057	18.2038	22.5391	0	164.294	d_Bacteria;p_Actinobacteriota;c_Coriobacteriia
c_SZUA-365	0	0	0	1249.3176	0	0	0	0	56.5622	0	0	0	0	0	0	d_Bacteria;p_Bacteroidota;c_SZUA-365
c_Calditrichia	0	0	283.469	0	57.4508	371.8556	0	0	0	0	0	0	0	522.1718	0	d_Bacteria;p_Calditrichota;c_Calditrichia
c_Unclassified_p_Verrucomicrobiota	181.5235	198.076	307.6547	338.7234	0	0	0	0	33.5409	23.0174	0	0	0	139.8167	0	d_Bacteria;p_Verrucomicrobiota;c_Unclassified_p_Verrucomicrobiota
c_Marinamargulisbacteria	0	0	0	0	36.7685	68.7825	150.5684	0	62.2185	0	0	0	0	847.2517	0	d_Bacteria;p_Margulisbacteria;c_Marinamargulisbacteria
c_JAEDAM01	0	0	168.0311	0	70.2024	415.6932	100.1196	0	37.3834	0	0	0	0	359.4686	0	d_Bacteria;p_Patescibacteria;c_JAEDAM01
c_UBA10030	54.9757	99.9812	165.1046	0	165.5857	0	483.1244	10.1195	0	0	0	0	41.4422	79.7685	0.634	d_Bacteria;p_Bacteroidota;c_UBA10030
c_Entotheonellia	0	0	259.7095	66.4424	124.9851	235.9377	258.6626	0	77.9418	0	0	0	0	58.5623	0	d_Bacteria;p_Tectomicrobia;c_Entotheonellia
c_Thermoanaerobaculia	0	0	0	503.6516	0	172.6633	236.4949	0	40.0985	0	0	0	0	102.3208	16.2194	d_Bacteria;p_Acidobacteriota;c_Thermoanaerobaculia
c_Proteinivoracia	0	0	137.4395	0	0	562.9576	85.5502	0	187.5788	0	0	0	0	55.5207	0	d_Bacteria;p_Firmicutes D;c_Proteinivoracia
c_UBA3072	0	0	202.2521	0	24.5943	517.3643	251.7866	0	0	0	0	0	0	32.6811	0	d_Bacteria;p_WOR-3;c_UBA3072
c_UBA4802	0	0	472.4483	0	57.4508	371.8556	0	0	48.6082	0	0	0	0	76.3409	0	d_Bacteria;p_Spirochaetota;c_UBA4802
c_Rubrobacteria	12.6115	0	169.8691	270.2176	82.6258	33.4252	42.2945	0	34.9542	0	0	2.929	0	301.9326	39.9049	d_Bacteria;p_Actinobacteriota;c_Rubrobacteria
