class	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
c_Chitinivibrionia	1.7577	0	381.9757	103.7316	34.2137	303.9855	261.8738	0	112.0073	0	6.6936	0.2437	14.2411	154.5176	4.9772	d_Bacteria;p_Fibrobacterota;c_Chitinivibrionia
c_Limnochordia	21.9081	0	570.0662	123.4986	123.8186	147.9702	164.608	18.38	100.7381	50.6928	0	0	0	42.7531	0	d_Bacteria;p_Firmicutes G;c_Limnochordia
c_Desulfarculia	26.2003	0	140.7	365.147	39.9637	153.3327	250.0854	0	38.1838	0	0	0	0	243.6211	0	d_Bacteria;p_Desulfobacterota;c_Desulfarculia
c_CAIYQO01	43.5683	460.9696	0	0	61.2648	21.5177	82.7984	0	40.0673	543.3232	0	0	0	0	0	d_Bacteria;p_Armatimonadota;c_CAIYQO01
c_Bdellovibrionia A	41.8382	20.7483	122.7189	314.0145	183.4037	95.6371	194.1365	0	17.0123	14.3853	0	80.0596	0	141.0973	3.8229	d_Bacteria;p_Bdellovibrionota;c_Bdellovibrionia A
c_Desulfobulbia	97.6647	170.3583	96.469	70.2837	95.7613	45.729	117.3074	0	212.4607	82.6796	0	10.2968	0	189.5412	2.7741	d_Bacteria;p_Desulfobacterota;c_Desulfobulbia
c_UBA994	5.1026	0	223.2572	194.7669	34.8647	229.6232	133.0266	8.0476	295.861	0	0.5699	0	9.0123	56.5386	0.3682	d_Bacteria;p_Firmicutes H;c_UBA994
c_Bdellovibrionia	9.8452	0	171.4353	78.2778	125.7634	91.6659	62.1765	0	78.0926	10.8331	0	1.9101	0	422.9832	0	d_Bacteria;p_Bdellovibrionota;c_Bdellovibrionia
c_UBA8477	0	0	61.5676	292.2039	73.4598	222.3852	0	0	239.7443	0	1.9307	0	0	139.8879	0	d_Bacteria;p_Marinisomatota;c_UBA8477
c_Limnocylindria	52.0158	159.8924	54.9315	51.012	59.2255	54.4976	284.1637	0	76.009	57.2618	0	2.2253	7.6433	110.7373	8.2698	d_Bacteria;p_Chloroflexota;c_Limnocylindria
c_Coriobacteriia	75.4161	75.4758	21.2124	41.9564	53.9423	0	37.1147	71.1311	11.4158	14.3769	368.485	16.0194	20.1062	0	152.9306	d_Bacteria;p_Actinobacteriota;c_Coriobacteriia
c_Fimbriimonadia	0	0	208.2205	0	17.1604	307.9381	53.1931	0	239.0462	0	0	0	0	106.6116	0	d_Bacteria;p_Armatimonadota;c_Fimbriimonadia
c_Thermoleophilia	8.3251	58.325	0	165.5182	92.3901	68.7838	0	4.4205	96.5538	0	0	37.8508	17.5441	301.2076	56.3242	d_Bacteria;p_Actinobacteriota;c_Thermoleophilia
c_Ozemobacteria	82.956	101.6202	127.8112	244.4361	53.3052	150.488	77.2086	0	53.1458	0	0	0	10.0974	0	2.0625	d_Bacteria;p_Riflebacteria;c_Ozemobacteria
c_Xenobia	0	0	14.676	251.2547	0	45.6469	63.7478	0	66.578	0	0	0	0	389.2076	0	d_Bacteria;p_Eremiobacterota;c_Xenobia
c_Methylomirabilia	0	0	33.8291	143.9288	39.245	103.3787	120.4296	0	97.8339	58.1675	0	0	0	212.8729	8.245	d_Bacteria;p_Methylomirabilota;c_Methylomirabilia
c_Fermentibacteria	5.305	0	25.0341	157.6231	7.4598	229.6216	20.1636	0	58.5446	0	0	0	0	264.142	0	d_Bacteria;p_Fermentibacterota;c_Fermentibacteria
c_Oligoflexia	0	0	117.408	69.9865	104.7764	29.1311	100.6298	0	59.8666	0	10.9367	2.5726	13.0887	255.426	2.0387	d_Bacteria;p_Bdellovibrionota;c_Oligoflexia
c_Moorellia	0	0	142.7608	175.6581	0	135.3839	97.4592	0	7.5877	0	0	0	0	186.965	0	d_Bacteria;p_Firmicutes B;c_Moorellia
c_Chlorobia	4.8926	0	163.95	218.212	26.758	0	0	106.9439	0	0	1.0535	18.6214	15.9287	176.4448	5.4525	d_Bacteria;p_Bacteroidota;c_Chlorobia
c_MSB-5A5	19.5369	0	156.6789	0	115.8785	93.2588	21.0327	0	102.1439	58.5811	0	0	0	165.0351	0	d_Bacteria;p_Zixibacteria;c_MSB-5A5
c_Thermodesulfovibrionia	0	392.5431	0	0	64.4739	0	49.1893	76.5369	0	126.1286	21.6978	0	0	0	0	d_Bacteria;p_Nitrospirota;c_Thermodesulfovibrionia
c_UBA6777	0	0	129.5078	0	0	71.2665	338.797	0	24.1277	0	0	0	0	151.4129	0	d_Bacteria;p_Myxococcota;c_UBA6777
c_D2-FULL-39-29	0	0	59.898	164.422	7.6494	241.8011	62.0286	0	25.0138	0	0	0	0	131.6208	0	d_Bacteria;p_Firestonebacteria;c_D2-FULL-39-29
c_UBA6098	0	0	92.4218	176.7547	0	254.7547	68.4173	0	33.1081	0	0	0	0	65.5724	0	d_Bacteria;p_UBP14;c_UBA6098
c_PGYV01	0	0	29.1823	95.6752	52.1754	247.3919	35.2571	0	34.1228	0	0	0	0	169.8061	0	d_Bacteria;p_Goldbacteria;c_PGYV01
c_UBA2968	6.8288	0	135.3497	29.0893	38.41	134.0608	191.7565	0	10.3748	0	0	0	0	112.8274	0	d_Bacteria;p_Latescibacterota;c_UBA2968
c_Hydrothermia	6.2686	0	345.7906	237.0703	0	0	42.6537	0	5.7649	0	0	0	0	0	0	d_Bacteria;p_WOR-3;c_Hydrothermia
c_Dormibacteria	3.9526	0	99.4787	22.0385	55.7876	229.5761	68.8034	0	39.9851	0	0	2.9401	0	55.578	54.7908	d_Bacteria;p_Dormibacterota;c_Dormibacteria
c_Unclassified_p_Verrucomicrobiota	129.7655	82.3781	128.4208	135.9891	0	0	0	0	15.9117	19.0383	0	0	0	70.0551	0	d_Bacteria;p_Verrucomicrobiota;c_Unclassified_p_Verrucomicrobiota
c_Marinamargulisbacteria	0	0	0	0	22.5659	27.488	60.9948	0	29.5163	0	0	0	0	424.5152	0	d_Bacteria;p_Margulisbacteria;c_Marinamargulisbacteria
c_Calditrichia	0	0	118.3252	0	35.2592	148.6069	0	0	0	0	0	0	0	261.634	0	d_Bacteria;p_Calditrichota;c_Calditrichia
c_Unclassified_p_Firmicutes A	25.9652	0	0	0	0	0	12.2734	224.9213	0	40.7809	105.394	2.7806	75.8913	0	73.1057	d_Bacteria;p_Firmicutes A;c_Unclassified_p_Firmicutes A
c_UBA10030	39.3004	41.5813	68.9177	0	101.6247	0	195.7122	9.19	0	0	0	0	36.9689	39.968	0.5901	d_Bacteria;p_Bacteroidota;c_UBA10030
c_SZUA-365	0	0	0	501.5702	0	0	0	0	26.833	0	0	0	0	0	0	d_Bacteria;p_Bacteroidota;c_SZUA-365
c_JAEDAM01	0	0	70.1393	0	43.0852	166.126	40.5581	0	17.7346	0	0	0	0	180.1116	0	d_Bacteria;p_Patescibacteria;c_JAEDAM01
c_Rubrobacteria	9.0155	0	70.9065	108.4857	50.7098	13.3579	17.1334	0	16.5822	0	0	2.5775	0	151.2832	37.1449	d_Bacteria;p_Actinobacteriota;c_Rubrobacteria
c_Entotheonellia	0	0	108.4076	26.675	76.7069	94.2892	104.7834	0	36.9754	0	0	0	0	29.3426	0	d_Bacteria;p_Tectomicrobia;c_Entotheonellia
c_Thermoanaerobaculia	0	0	0	202.2037	0	69.0025	95.8033	0	19.0226	0	0	0	0	51.2678	15.0976	d_Bacteria;p_Acidobacteriota;c_Thermoanaerobaculia
c_UBA4802	0	0	197.2087	0	35.2592	148.6069	0	0	23.0596	0	0	0	0	38.2506	0	d_Bacteria;p_Spirochaetota;c_UBA4802
c_Gracilibacteria	0	0	167.7984	0	0	38.685	76.7143	0	0	0	0	2.5287	51.4623	91.9931	5.6064	d_Bacteria;p_Patescibacteria;c_Gracilibacteria
c_Proteinivoracia	0	0	57.3698	0	0	224.9782	34.6561	0	88.9869	0	0	0	0	27.8186	0	d_Bacteria;p_Firmicutes D;c_Proteinivoracia
c_Halanaerobiia	5.8039	0	0	0	35.122	152.9075	0	163.9633	34.4548	0	31.2205	0.8048	0	0	3.057	d_Bacteria;p_Firmicutes F;c_Halanaerobiia
c_UBA3072	0	0	84.4238	0	15.0942	206.7575	101.998	0	0	0	0	0	0	16.3748	0	d_Bacteria;p_WOR-3;c_UBA3072
c_DSWW01	23.3931	178.2057	7.3594	8.0427	13.1579	0	26.6741	2.7999	17.2106	97.814	0	43.5492	0	0	0.5394	d_Bacteria;p_Desulfobacterota;c_DSWW01
c_Sulfobacillia	6.1452	0	107.7096	75.455	8.6412	79.3437	35.0353	0	52.4769	0	0	0	0	52.2284	0.0337	d_Bacteria;p_Firmicutes E;c_Sulfobacillia
c_GWE2-31-10	0	123.235	20.357	0	90.9914	0	122.9734	0	0	0	1.9073	0	0	19.7422	0	d_Bacteria;p_Spirochaetota;c_GWE2-31-10
c_SURF-5	0	0	0	0	0	248.109	106.0779	0	0	0	0	0	0	0	0	d_Bacteria;p_Abyssubacteria;c_SURF-5
c_Unclassified_p_Fibrobacterota	0	47.3834	117.408	25.6617	83.966	0	56.7393	17.8671	0	0	4.4001	0	0	0	0	d_Bacteria;p_Fibrobacterota;c_Unclassified_p_Fibrobacterota
c_Desulfitobacteriia	0	0	45.8958	28.8862	70.8876	86.4622	0	11.5199	0	0	41.4401	0	12.5928	44.5098	6.1656	d_Bacteria;p_Firmicutes B;c_Desulfitobacteriia
c_Dehalobacteriia	0	0	0	0	0	0	0	310.9067	0	0	1.7015	1.6009	21.7203	0	9.0203	d_Bacteria;p_Firmicutes B;c_Dehalobacteriia
c_UBA2235	0	0	0	0	17.7684	187.2213	24.0137	0	0	0	0	0	0	115.6553	0	d_Bacteria;p_Chloroflexota;c_UBA2235
c_UBA4738	0	0	33.689	68.1993	0	112.1424	59.8093	0	19.8096	0	0	0	0	46.6737	2.2405	d_Bacteria;p_Actinobacteriota;c_UBA4738
c_SpSt-956	0	0	0	0	147.9729	38.9789	149.9872	0	0	0	3.8772	0	0	0	0	d_Bacteria;p_Eremiobacterota;c_SpSt-956
c_Syntrophomonadia	17.072	0	53.7079	0	96.025	0	64.8881	10.2166	0	0	0	10.5249	30.5992	26.043	13.7935	d_Bacteria;p_Firmicutes B;c_Syntrophomonadia
c_GCA-003054495	10.1247	0	111.482	104.4279	0	15.0013	0	0	46.5556	0	0	0	0	30.8901	0	d_Bacteria;p_Firmicutes B;c_GCA-003054495
c_Hydrogenedentia	24.5002	23.3122	91.9031	0	34.4517	23.0846	14.8046	0	81.3774	8.0815	0	0	0	11.8837	0	d_Bacteria;p_Hydrogenedentota;c_Hydrogenedentia
c_Mor1	35.4644	56.2841	13.7189	0	0	0	33.6988	0	24.1951	137.4627	0	0	0	0	0	d_Bacteria;p_Acidobacteriota;c_Mor1
c_Thermotogae	0	0	0	0	0	0	0	0	0	0	269.1838	13.4269	12.6854	0	5.1694	d_Bacteria;p_Thermotogota;c_Thermotogae
c_DTU015	12.2035	116.2064	0	0	17.1604	0	46.3839	1.9304	11.2229	0	0	0	8.7712	0	78.4439	d_Bacteria;p_Firmicutes E;c_DTU015
c_Krumholzibacteria	0	0	66.4282	0	0	0	0	0	0	0	0	0	0	225.4772	0	d_Bacteria;p_Krumholzibacteriota;c_Krumholzibacteria
c_UBA6624	0	0	0	181.4892	29.6919	0	40.1282	0	0	0	0	0	0	32.211	0	d_Bacteria;p_UBP7;c_UBA6624
c_Aminicenantia	0	0	0	210.9379	0	0	36.5238	0	17.6744	0	6.5393	0	0	0	0.2842	d_Bacteria;p_Acidobacteriota;c_Aminicenantia
c_UBA6099	0	0	19.9547	87.2296	0	122.1749	24.1086	0	11.6665	0	0	0	0	0	0	d_Bacteria;p_UBP15;c_UBA6099
c_UBA6911	0	0	15.2065	49.8549	13.5939	106.0915	18.3719	0	8.8904	0	0	0	0	41.4922	0	d_Bacteria;p_Acidobacteriota;c_UBA6911
c_Eremiobacteria	0	0	0	205.8684	0	0	0	0	0	0	0	8.5854	0	0	38.138	d_Bacteria;p_Eremiobacterota;c_Eremiobacteria
c_Dethiobacteria	40.287	42.6252	21.1236	0	7.8902	0	31.9903	0	0	29.5531	0	0	0	77.0362	0	d_Bacteria;p_Firmicutes D;c_Dethiobacteria
c_B64-G9	0	0	0	0	0	110.225	80.7878	0	9.7736	0	0	0	0	48.6365	0	d_Bacteria;p_Myxococcota;c_B64-G9
