KEGG_L3	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	description
ko00920	76.2836	20.7671	7.1299	5.4985	23.5362	3.4161	11.8351	60.1266	18.4625	65.7021	195.4249	128.6721	102.2023	10.6488	112.0473	Metabolism; Energy metabolism; Sulfur metabolism
ko00930	50.9167	63.7358	0	36.1981	0	0	0	4.9716	22.6104	50.2673	3.1113	101.4832	17.3994	0	100.9367	Metabolism; Xenobiotics biodegradation and metabolism; Caprolactam degradation
ko00940	0	0	0	0	0	0	0	4.1675	0	0	0	0	0	0	0	Metabolism; Biosynthesis of other secondary metabolites; Phenylpropanoid biosynthesis
ko00960	54.4798	17.3313	0	0	0	0	0	35.0704	9.4345	25.2	0	68.0736	44.7033	0	66.0155	Metabolism; Biosynthesis of other secondary metabolites; Tropane, piperidine and pyridine alkaloid biosynthesis
ko00965	77.607	0	0	0	0	0	0	1.73	14.3562	0	0.288	17.0121	12.5615	0	9.4079	Metabolism; Biosynthesis of other secondary metabolites; Betalain biosynthesis
ko00970	208.2642	0	0	0	365.7037	0	0	425.5264	62.8144	462.8168	276.6599	331.5506	428.6583	0	275.3377	Genetic Information Processing; Translation; Aminoacyl-tRNA biosynthesis
ko00980	42.424	28.3008	45.2236	38.1606	20.9513	47.2916	28.0782	0	16.1263	0	0	113.1267	0	18.505	105.7809	Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450
ko00981	0	0	17.1696	0	8.2348	0	0	0	0	0	0	0	0	0	0	Metabolism; Metabolism of terpenoids and polyketides; Insect hormone biosynthesis
ko00983	227.2629	119.6509	67.8985	80.3359	179.9116	39.7137	95.7784	382.6222	105.1147	357.4667	340.8659	298.5185	442.8545	95.0484	309.787	Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes
ko00984	7.3537	7.9442	0	0	0.9605	0	0	1.9135	5.5835	32.2141	0.5429	98.3423	4.9394	0.6978	1.9774	Metabolism; Xenobiotics biodegradation and metabolism; Steroid degradation
ko00997	9.3603	0	0	0	0	0	0	0.2948	0	0.1496	0.0401	0	0.1678	0	0.0669	Metabolism; Biosynthesis of other secondary metabolites; Biosynthesis of various other secondary metabolites
