order	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
o_Aquificales	69.5706	85.6485	3054.5094	3590.7718	707.583	3550.6723	2995.9616	136.5744	913.0075	7.514	3.4512	0.6751	1.7038	3008.94	1.735	d_Bacteria;p_Aquificota;c_Aquificae;o_Aquificales
o_Pedosphaerales	162.4696	685.2369	3017.7471	2184.1042	989.5259	3177.9425	1848.7558	0	1335.9407	211.0137	8.1117	74.3728	65.0228	2519.3222	2.5279	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Pedosphaerales
o_Unclassified_c_Bacteroidia	162.7562	797.6039	2140.4814	2354.3761	705.5286	2233.9833	1634.2708	230.8795	907.1945	132.8141	41.7074	2390.8601	133.5416	1510.194	145.4174	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Unclassified_c_Bacteroidia
o_Bacteriovoracales	175.6189	1036.0694	2795.5851	2656.8036	963.1123	2336.9472	1709.88	13.479	639.654	157.4619	0	2.07	36.0851	2540.7269	0	d_Bacteria;p_Bdellovibrionota;c_Bacteriovoracia;o_Bacteriovoracales
o_Oscillospirales	888.8192	1107.5452	1300.0411	1841.0409	1090.0513	2051.9711	1251.1184	583.8122	682.3688	399.4522	1019.2905	198.9031	985.8673	1277.1636	251.8997	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales
o_SAR324	3027.1718	97.3321	324.0849	279.9053	355.7314	496.3166	264.4289	0	4116.1499	0	1.8054	25.1636	5.3341	2977.1528	1.9543	d_Bacteria;p_SAR324;c_SAR324;o_SAR324
o_Unclassified_p_Myxococcota	117.1314	393.7403	1634.7652	1875.6995	395.5373	1932.3875	1120.661	10.7003	506.8105	230.0772	0.9239	0.7178	18.3652	1771.0224	0.4818	d_Bacteria;p_Myxococcota;c_Unclassified_p_Myxococcota;o_Unclassified_p_Myxococcota
o_Cytophagales	324.1108	731.2037	1496.6324	1502.3632	822.8781	1174.6257	1119.1522	138.2659	941.7999	186.3794	3.1796	87.5716	73.0838	1257.6724	44.1416	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Cytophagales
o_Unclassified_p_Actinobacteriota	1560.9232	1351.6726	484.3787	708.4471	483.3346	378.5257	419.6629	145.5845	404.1677	689.0783	24.1903	333.893	368.9646	235.1153	1899.0608	d_Bacteria;p_Actinobacteriota;c_Unclassified_p_Actinobacteriota;o_Unclassified_p_Actinobacteriota
o_Methylococcales	70.8388	255.8037	1118.5139	2083.3173	481.428	1317.1093	1089.3752	22.7375	812.6975	52.7105	9.5746	56.6657	69.8919	843.8609	61.7679	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Methylococcales
o_UBA796	443.0971	1089.7924	1092.1991	1134.1987	437.1268	1228.4721	881.6582	13.7194	429.4315	479.4923	7.5007	0	0.8158	978.622	0.2575	d_Bacteria;p_Myxococcota A;c_UBA796;o_UBA796
o_Myxococcales	98.806	605.4376	1583.3245	1482.9834	524.5352	1094.6346	710.4782	18.8923	566.2722	380.5082	13.9468	82.0262	0	960.0975	3.1257	d_Bacteria;p_Myxococcota;c_Myxococcia;o_Myxococcales
o_Polyangiales	179.6994	179.9393	1190.6445	831.1849	349.0568	1154.5622	1365.6814	0	386.6341	212.0737	0.8976	0	21.9217	1274.9162	9.0159	d_Bacteria;p_Myxococcota;c_Polyangia;o_Polyangiales
o_Opitutales	115.9633	1462.9659	739.8491	985.8203	651.8886	656.7192	608.374	212.1116	448.9111	182.2655	10.0107	65.5115	46.6339	535.4875	8.3883	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Opitutales
o_Bryobacterales	279.3622	2269.0062	687.6952	286.6352	438.8604	191.174	1085.3264	41.7147	190.4786	307.1779	2.0792	9.2511	0	391.5118	21.1594	d_Bacteria;p_Acidobacteriota;c_Acidobacteriae;o_Bryobacterales
o_Acidimicrobiales	236.8415	425.0661	784.7398	417.0603	398.8797	710.1823	550.9615	28.0679	760.7857	301.3745	0	28.0906	5.3341	573.0215	240.043	d_Bacteria;p_Actinobacteriota;c_Acidimicrobiia;o_Acidimicrobiales
o_Anaerolineales	176.1343	414.8076	762.2337	869.2726	111.4055	851.7004	742.9157	20.0771	260.3859	21.1473	2.859	1.153	0	1061.4272	0.5581	d_Bacteria;p_Chloroflexota;c_Anaerolineae;o_Anaerolineales
o_Saccharimonadales	2554.4409	366.5269	120.6947	300.9421	60.5795	51.8773	341.9427	451.9862	482.4323	217.6904	37.2206	0.6088	9.0054	238.7475	42.5755	d_Bacteria;p_Patescibacteria;c_Saccharimonadia;o_Saccharimonadales
o_Streptosporangiales	612.1671	1212.0877	256.1432	324.7974	470.4425	401.6862	650.5414	39.6841	409.0246	274.597	2.4885	34.4077	108.7647	319.8152	130.8191	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Streptosporangiales
o_Sphingobacteriales	126.0457	148.3982	809.9417	779.6942	409.6348	716.4288	586.7277	5.1356	412.2816	9.4428	6.176	158.4142	0	970.7691	9.7273	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Sphingobacteriales
o_Fibrobacterales	12.0579	0	1172.7956	1053.5065	214.1017	893.8422	558.4164	0	390.4197	0	2.1831	0	0	752.3834	0.2409	d_Bacteria;p_Fibrobacterota;c_Fibrobacteria;o_Fibrobacterales
o_Verrucomicrobiales	28.6931	53.5476	430.5006	933.7643	281.5377	1174.4258	822.5771	0	353.2231	137.9087	7.6268	80.9185	0	697.3943	7.5673	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Verrucomicrobiales
o_Ignavibacteriales	0	0	1060.6143	705.5393	303.8566	1277.259	381.5171	0	295.9639	54.6124	0	0	0	887.1337	0	d_Bacteria;p_Bacteroidota;c_Ignavibacteria;o_Ignavibacteriales
o_Unclassified_c_Cyanobacteriia	104.0615	350.1327	535.0875	1025.6356	228.4378	771.6421	682.4888	0	689.922	91.5651	1.1975	1.6922	29.0864	339.5053	0	d_Bacteria;p_Cyanobacteria;c_Cyanobacteriia;o_Unclassified_c_Cyanobacteriia
o_Chlamydiales	50.7432	200.4937	926.5054	398.8334	565.2868	616.5746	783.3295	0	547.2152	189.9309	5.7485	20.9943	6.6354	321.4228	2.3288	d_Bacteria;p_Chlamydiota;c_Chlamydiia;o_Chlamydiales
o_Bacillales A	22.5911	0	528.3203	820.6078	185.505	883.1609	390.5658	25.1342	166.2236	10.8331	296.506	2.8456	111.6323	705.4435	190.1188	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales A
