family	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
f_Caulobacteraceae	3943.5592	2078.2404	764.8431	518.0047	354.5076	878.2209	1380.2472	324.1955	573.9535	711.1396	52.0045	101885.717	2880.5803	638.1998	5003.7354	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Caulobacteraceae
f_Unclassified_c_Alphaproteobacteria	4401.0727	3653.9754	8012.9486	4977.8607	3235.2624	6902.8244	6460.048	126.9156	3386.2269	943.9437	32.3416	15913.8804	969.8958	4120.121	22925.9936	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Unclassified_c_Alphaproteobacteria;f_Unclassified_c_Alphaproteobacteria
f_Unclassified_c_Gammaproteobacteria	1358.5509	3627.702	8391.3274	8217.8657	2417.2226	9721.1143	8319.3202	223.0262	4637.1091	551.9591	5880.6381	9715.9976	2213.5679	7384.8323	2907.428	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Unclassified_c_Gammaproteobacteria;f_Unclassified_c_Gammaproteobacteria
f_Lachnospiraceae	2461.1132	22287.8373	6252.7196	8268.6294	5346.2724	7025.8937	9022.8383	1320.7953	2633.8616	1445.7797	1640.0344	74.6136	1186.1698	4937.1082	370.4544	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Lachnospirales;f_Lachnospiraceae
f_Alteromonadaceae	609.8216	1457.8552	12409.0718	13864.7225	1787.731	14270.7008	8935.7308	37.8486	8534.7144	464.7635	113.1779	75.7925	116.0849	10702.3875	29.9692	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Alteromonadaceae
f_Thioglobaceae	531.4571	4975.8568	13045.6969	15098.7942	2898.5591	11759.0827	8777.8479	39.2005	4240.4867	314.742	11.5358	5.8628	0	6890.7817	23.1917	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_PS1;f_Thioglobaceae
f_Sphingomonadaceae	7755.6057	13065.985	2379.8818	3080.4481	2612.3667	3136.2085	4583.9614	373.8783	1960.1048	1727.483	34.7278	22503.1504	289.5308	2235.283	872.9979	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Sphingomonadales;f_Sphingomonadaceae
f_Cellulomonadaceae	1377.8046	527.0868	13189.4025	15673.4917	1620.4616	13269.7965	6277.1816	57.6411	2407.753	928.5101	17.5742	111.4175	337.2383	8887.9132	1055.5029	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Cellulomonadaceae
f_Rhizobiaceae	2934.4856	1902.4541	4254.2449	3143.2138	1041.4462	3067.5896	2464.3839	123.7134	1994.4689	591.5684	41.9327	17828.9789	1620.3996	1222.4321	23248.2282	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae
f_Pseudomonadaceae	4714.3913	2049.2197	1279.7077	1647.91	816.9297	1425.7061	1148.9726	326.2394	1020.8934	491.6084	71.7973	9132.2621	5911.4806	935.9912	29632.4759	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae
f_Aeromonadaceae	773.9152	3964.5096	8437.6611	8926.5052	4745.1651	8363.3579	8185.1154	201.637	3935.6865	357.3188	27.419	24.8394	136.6954	6226.4771	129.3331	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Aeromonadaceae
f_Unclassified_c_Clostridia	2806.3921	682.6594	1608.2389	3837.1895	460.6383	4373.4659	3961.8658	13155.2412	954.6144	387.1995	6307.8494	281.2479	6829.2482	2222.4113	2208.9801	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Unclassified_c_Clostridia;f_Unclassified_c_Clostridia
f_Sedimenticolaceae	205.4546	331.0188	9757.5895	12119.7575	1639.5767	11558.2094	6054.4081	0	2116.182	43.2743	7.8484	2.7797	45.6622	6105.0119	1.4793	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Chromatiales;f_Sedimenticolaceae
f_Unclassified_o_Actinomycetales	12683.4402	6305.5611	717.8452	980.3787	469.6485	189.033	1024.9179	713.827	4676.8637	6086.3964	103.3792	1097.8847	4481.8087	851.3449	9274.0865	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Unclassified_o_Actinomycetales
