family	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
f_NAC60-12	526	3	34	22	40	31	18	0	724	0	2	32	1	323	9	d_Bacteria;p_SAR324;c_SAR324;o_SAR324;f_NAC60-12
f_Unclassified_o_Pseudomonadales	10	0	26	28	4	9	11	2	1	1	1	51	14	5	1546	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Unclassified_o_Pseudomonadales
f_Unclassified_o_Flavobacteriales	9	0	6	5	2	2	4	0	2	0	7	1582	0	0	16	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales;f_Unclassified_o_Flavobacteriales
f_Phreatobacteraceae	38	0	0	0	0	0	0	3	0	8	2	1077	4	0	365	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Phreatobacteraceae
f_CAG-74	3	0	15	9	1	13	1	2	1	8	1089	120	161	1	43	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Christensenellales;f_CAG-74
f_Tistrellaceae	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1373	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Tistrellales;f_Tistrellaceae
f_Nostocaceae	61	10	175	251	46	233	83	7	50	6	2	186	6	180	72	d_Bacteria;p_Cyanobacteria;c_Cyanobacteriia;o_Cyanobacteriales;f_Nostocaceae
f_Oleiphilaceae	15	10	125	163	66	259	92	17	218	7	9	130	6	159	86	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Oleiphilaceae
f_Acutalibacteraceae	11	33	10	24	3	44	7	64	21	33	515	189	14	17	301	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Acutalibacteraceae
f_UBA1096	24	6	197	190	57	230	130	0	182	6	3	8	5	201	5	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Pedosphaerales;f_UBA1096
f_Stappiaceae	0	2	22	18	11	33	33	0	11	0	2	81	1	24	976	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Stappiaceae
f_Gaiellaceae	7	0	0	0	0	1	0	8	0	0	0	42	2	6	1121	d_Bacteria;p_Actinobacteriota;c_Thermoleophilia;o_Gaiellales;f_Gaiellaceae
f_Magnetovibrionaceae	0	0	0	0	6	0	0	0	0	0	0	2	0	0	1175	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodospirillales;f_Magnetovibrionaceae
f_Streptosporangiaceae	73	31	13	18	22	25	22	7	29	22	2	30	11	22	801	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Streptosporangiales;f_Streptosporangiaceae
f_Oscillospiraceae	31	11	36	31	61	22	19	7	27	21	323	18	80	39	383	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Oscillospiraceae
f_Myxococcaceae	11	25	95	43	31	64	35	3	59	56	45	575	0	42	10	d_Bacteria;p_Myxococcota;c_Myxococcia;o_Myxococcales;f_Myxococcaceae
f_Geodermatophilaceae	99	2	0	0	2	0	0	23	4	1	0	40	10	0	877	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Geodermatophilaceae
f_Rhodanobacteraceae	37	39	21	39	10	15	18	4	8	37	4	301	7	26	490	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Xanthomonadales;f_Rhodanobacteraceae
f_Kaistiaceae	3	0	0	0	2	0	0	0	0	0	0	75	3	0	948	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Kaistiaceae
f_Unclassified_o_Fusobacteriales	0	0	6	0	4	0	0	622	0	0	286	25	57	12	5	d_Bacteria;p_Fusobacteriota;c_Fusobacteriia;o_Fusobacteriales;f_Unclassified_o_Fusobacteriales
f_Unclassified_p_Myxococcota	20	20	183	152	41	202	108	2	98	27	1	1	3	152	2	d_Bacteria;p_Myxococcota;c_Unclassified_p_Myxococcota;o_Unclassified_p_Myxococcota;f_Unclassified_p_Myxococcota
f_Saprospiraceae	10	4	126	110	24	109	56	6	37	1	35	24	21	94	354	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Chitinophagales;f_Saprospiraceae
f_Unclassified_o_Caulobacterales	4	0	0	0	0	0	0	0	0	0	0	791	10	1	168	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Unclassified_o_Caulobacterales
f_Leptotrichiaceae	0	0	18	0	1	0	1	104	2	139	147	386	66	2	103	d_Bacteria;p_Fusobacteriota;c_Fusobacteriia;o_Fusobacteriales;f_Leptotrichiaceae
f_Dysgonomonadaceae	7	8	9	0	0	2	2	3	2	5	0	0	7	0	899	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_Dysgonomonadaceae
f_Hyphomicrobiaceae	0	1	0	4	3	8	6	1	2	2	1	92	0	3	806	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Hyphomicrobiaceae
f_DSM-18226	10	11	101	190	33	45	278	3	17	0	6	0	8	58	135	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales B;f_DSM-18226
f_Labraceae	0	0	0	0	0	0	0	0	0	0	0	3	0	0	890	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Labraceae
f_Atopobiaceae	6	0	2	2	0	0	1	1	1	0	0	26	0	0	848	d_Bacteria;p_Actinobacteriota;c_Coriobacteriia;o_Coriobacteriales;f_Atopobiaceae
f_Shewanellaceae	2	5	73	77	21	108	45	6	47	0	373	9	3	90	1	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Shewanellaceae
f_Nanopelagicaceae	71	0	12	3	2	5	3	3	26	1	0	3	4	26	694	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Nanopelagicales;f_Nanopelagicaceae
f_Vagococcaceae	7	1	4	0	1	0	1	12	2	0	8	1	78	3	718	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Vagococcaceae
f_Antricoccaceae	188	5	0	0	0	0	0	26	1	2	2	149	16	0	445	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Antricoccaceae
f_Filifactoraceae	0	0	0	0	0	0	0	0	0	0	0	1	1	0	817	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Filifactoraceae
f_Fibrobacteraceae	5	0	168	140	35	147	74	0	101	0	3	0	0	134	1	d_Bacteria;p_Fibrobacterota;c_Fibrobacteria;o_Fibrobacterales;f_Fibrobacteraceae
f_CR04bin15	0	0	0	0	0	0	0	2	0	0	703	26	63	0	3	d_Bacteria;p_KSB1;c_UBA2214;o_CR04bin15;f_CR04bin15
f_Demequinaceae	23	0	0	0	1	0	0	2	2	33	26	27	16	1	659	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Demequinaceae
f_Bacteriovoracaceae	18	36	142	124	51	125	64	2	69	20	0	1	3	131	0	d_Bacteria;p_Bdellovibrionota;c_Bacteriovoracia;o_Bacteriovoracales;f_Bacteriovoracaceae
f_Thiobacillaceae	4	0	0	0	1	0	0	0	2	3	0	738	3	0	17	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Thiobacillaceae
f_Nitrosomonadaceae	0	0	6	7	4	2	7	0	2	0	0	324	1	2	388	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Burkholderiales;f_Nitrosomonadaceae
f_Unclassified_o_Tissierellales	3	3	1	1	0	0	5	0	3	3	10	27	38	3	641	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Tissierellales;f_Unclassified_o_Tissierellales
f_Ruminococcaceae	42	6	15	19	15	16	24	49	12	8	335	14	31	4	106	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Ruminococcaceae
f_Amphibacillaceae	3	0	17	24	9	17	14	0	4	11	5	6	1	19	562	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales D;f_Amphibacillaceae
f_Unclassified_o_Peptostreptococcales	9	0	1	0	0	0	1	135	0	0	271	5	15	0	244	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Unclassified_o_Peptostreptococcales
f_Unclassified_p_Bacteroidota	2	2	26	17	8	22	16	2	13	0	0	419	0	35	118	d_Bacteria;p_Bacteroidota;c_Unclassified_p_Bacteroidota;o_Unclassified_p_Bacteroidota;f_Unclassified_p_Bacteroidota
f_Exiguobacteraceae	0	0	0	0	1	0	0	8	0	0	610	5	2	0	43	d_Bacteria;p_Firmicutes;c_Bacilli;o_Exiguobacterales;f_Exiguobacteraceae
f_D2	0	0	0	0	0	0	0	1	0	0	0	0	3	0	654	d_Bacteria;p_Firmicutes E;c_DTU015;o_D8A-2;f_D2
f_Hyphomonadaceae	15	1	46	25	32	71	16	0	105	0	3	259	0	40	7	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Caulobacterales;f_Hyphomonadaceae
f_JADDFT01	2	0	135	114	31	114	90	0	50	0	0	0	0	77	0	d_Bacteria;p_KSB1;c_UBA2214;o_JACIZP01;f_JADDFT01
f_Ktedonobacteraceae	13	0	42	12	32	15	16	0	1	0	0	9	0	22	446	d_Bacteria;p_Chloroflexota;c_Ktedonobacteria;o_Ktedonobacterales;f_Ktedonobacteraceae
f_Anaerovoracaceae	23	24	18	16	13	21	19	169	11	15	20	11	25	22	169	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Peptostreptococcales;f_Anaerovoracaceae
f_GCA-2862545	14	13	85	106	21	116	47	0	24	19	5	0	1	101	0	d_Bacteria;p_Myxococcota A;c_UBA796;o_UBA796;f_GCA-2862545
f_Porticoccaceae	0	0	0	0	0	0	10	0	0	0	24	257	2	4	247	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Porticoccaceae
f_UBA932	16	1	27	36	15	10	32	0	45	1	0	306	11	21	17	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Bacteroidales;f_UBA932
f_Unclassified_o_Oscillospirales	8	3	14	1	0	5	12	3	8	13	44	17	2	5	399	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Oscillospirales;f_Unclassified_o_Oscillospirales
f_Coriobacteriaceae	0	0	0	0	0	0	0	15	0	0	504	2	1	0	8	d_Bacteria;p_Actinobacteriota;c_Coriobacteriia;o_Coriobacteriales;f_Coriobacteriaceae
