order	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
o_Thermomicrobiales	0	0	0	4	0	1	0	0	0	0	0	1	0	0	121	d_Bacteria;p_Chloroflexota;c_Chloroflexia;o_Thermomicrobiales
o_UBA1565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	d_Bacteria;p_Elusimicrobiota;c_Elusimicrobia;o_UBA1565
o_Sphaerochaetales	0	6	0	0	4	0	0	0	0	0	0	0	0	3	110	d_Bacteria;p_Spirochaetota;c_Spirochaetia;o_Sphaerochaetales
o_Arenicellales	1	0	6	27	3	13	8	0	14	7	0	0	0	8	35	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Arenicellales
o_Leptospirales	0	0	19	30	4	15	13	0	14	0	0	0	0	26	0	d_Bacteria;p_Spirochaetota;c_Leptospirae;o_Leptospirales
o_UBA9160	9	5	9	0	1	19	2	0	66	0	0	2	0	7	0	d_Bacteria;p_Myxococcota A;c_UBA9160;o_UBA9160
o_UBA1407	1	2	15	27	4	14	24	9	2	0	0	0	1	17	0	d_Bacteria;p_Verrucomicrobiota;c_Lentisphaeria;o_UBA1407
o_Legionellales	1	0	8	6	21	11	3	0	7	0	0	0	0	10	48	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Legionellales
o_Eubacteriales	0	0	11	0	3	7	3	0	1	0	0	0	2	3	85	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Eubacteriales
o_Micropepsales	2	0	5	13	1	4	2	0	0	0	0	36	0	2	50	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Micropepsales
o_Elusimicrobiales	0	0	16	31	3	16	13	0	12	0	0	0	0	22	0	d_Bacteria;p_Elusimicrobiota;c_Elusimicrobia;o_Elusimicrobiales
o_Haliangiales	4	4	17	8	25	20	20	0	3	2	1	0	0	7	0	d_Bacteria;p_Myxococcota;c_Polyangia;o_Haliangiales
o_AKYH767	1	0	15	4	11	10	10	0	22	0	0	12	0	26	0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_AKYH767
o_Palsa-1104 A	0	0	22	13	9	22	9	0	12	9	0	0	0	14	0	d_Bacteria;p_Myxococcota;c_Polyangia;o_Palsa-1104 A
o_UBA5794	0	0	0	0	0	0	0	0	0	0	0	1	0	0	107	d_Bacteria;p_Actinobacteriota;c_Acidimicrobiia;o_UBA5794
o_Phormidesmiales	5	4	11	11	10	20	13	0	6	0	0	0	0	28	0	d_Bacteria;p_Cyanobacteria;c_Cyanobacteriia;o_Phormidesmiales
o_Limnocylindrales	2	0	2	5	2	5	14	0	4	5	0	4	1	11	51	d_Bacteria;p_Chloroflexota;c_Limnocylindria;o_Limnocylindrales
o_UBA6615	0	0	0	0	0	0	0	0	0	0	0	4	4	0	98	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_UBA6615
o_UBA2565	0	0	33	17	1	19	5	0	12	0	0	0	0	19	0	d_Bacteria;p_Verrucomicrobiota;c_Lentisphaeria;o_UBA2565
o_AKYH767-A	0	0	2	8	1	2	1	0	4	0	0	75	0	2	11	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_AKYH767-A
o_Bacillales C	1	2	2	0	10	0	7	5	0	0	73	0	2	1	3	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales C
o_Desulfuromonadales	0	2	18	15	11	14	16	1	7	1	0	0	0	20	0	d_Bacteria;p_Desulfobacterota;c_Desulfuromonadia;o_Desulfuromonadales
o_Acetivibrionales	0	1	0	0	4	0	0	4	0	3	1	0	5	0	86	d_Bacteria;p_Firmicutes A;c_Clostridia;o_Acetivibrionales
o_Chlorobiales	1	0	13	9	3	0	0	25	0	0	1	10	3	9	29	d_Bacteria;p_Bacteroidota;c_Chlorobia;o_Chlorobiales
o_Parvibaculales	7	0	18	12	4	17	8	0	18	0	1	0	0	18	0	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Parvibaculales
o_RZYC01	0	3	14	22	1	20	7	0	7	7	0	0	0	22	0	d_Bacteria;p_Verrucomicrobiota;c_Kiritimatiellae;o_RZYC01
o_Desulfobulbales	10	5	6	4	5	3	6	0	22	7	0	9	0	12	13	d_Bacteria;p_Desulfobacterota;c_Desulfobulbia;o_Desulfobulbales
o_Halobacteroidales	2	0	0	0	0	10	0	14	0	0	73	2	0	0	0	d_Bacteria;p_Firmicutes F;c_Halanaerobiia;o_Halobacteroidales
o_Steroidobacterales	0	0	24	13	0	15	0	0	2	0	0	30	0	0	10	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Steroidobacterales
o_DSWW01	5	12	1	1	2	0	3	1	4	19	0	41	0	0	3	d_Bacteria;p_Desulfobacterota;c_DSWW01;o_DSWW01
o_Ectothiorhodospirales	0	0	13	13	2	20	14	0	3	0	0	0	0	23	0	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Ectothiorhodospirales
o_Dehalococcoidales	6	5	10	16	2	13	4	2	2	0	0	18	0	9	0	d_Bacteria;p_Chloroflexota;c_Dehalococcoidia;o_Dehalococcoidales
o_Brevibacillales	9	0	0	1	1	0	2	0	39	2	5	0	0	2	25	d_Bacteria;p_Firmicutes;c_Bacilli;o_Brevibacillales
o_DTJE01	2	0	1	0	10	1	8	1	0	2	0	57	0	0	3	d_Bacteria;p_Myxococcota;c_UBA9042;o_DTJE01
o_Desulfuribacillales	0	0	0	0	0	0	1	76	0	0	2	2	3	1	0	d_Bacteria;p_Firmicutes;c_Bacilli;o_Desulfuribacillales
o_UBA1177	0	0	19	12	3	10	17	0	11	0	0	0	0	6	0	d_Bacteria;p_UBP6;c_UBA1177;o_UBA1177
o_Propionisporales	1	0	1	0	0	0	0	39	0	1	25	1	3	0	7	d_Bacteria;p_Firmicutes C;c_Negativicutes;o_Propionisporales
o_SCGC-AAA003-L08	6	8	16	12	11	1	10	1	0	7	0	5	0	1	0	d_Bacteria;p_Marinisomatota;c_Marinisomatia;o_SCGC-AAA003-L08
o_Desulfarculales	2	0	9	20	3	10	13	0	4	0	0	0	0	16	0	d_Bacteria;p_Desulfobacterota;c_Desulfarculia;o_Desulfarculales
o_Thermodesulfovibrionales	0	21	0	0	2	0	2	21	0	5	25	0	0	0	0	d_Bacteria;p_Nitrospirota;c_Thermodesulfovibrionia;o_Thermodesulfovibrionales
o_Unclassified_c_Verrucomicrobiae	1	0	12	11	1	24	8	0	15	0	0	1	0	3	0	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Unclassified_c_Verrucomicrobiae
o_Balneolales	3	7	8	8	5	0	3	1	2	0	0	25	1	13	0	d_Bacteria;p_Bacteroidota;c_Rhodothermia;o_Balneolales
o_Thermosynechococcales	0	0	15	10	9	20	6	0	1	0	0	0	0	15	0	d_Bacteria;p_Cyanobacteria;c_Cyanobacteriia;o_Thermosynechococcales
o_PIVX01	0	0	27	14	2	5	8	0	7	0	0	2	0	11	0	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_PIVX01
o_CF-121	1	0	16	3	4	26	6	0	11	0	0	0	0	8	0	d_Bacteria;p_Dormibacterota;c_Dormibacteria;o_CF-121
o_Micavibrionales	2	1	5	13	2	16	7	0	15	0	0	0	0	11	2	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Micavibrionales
o_D2-FULL-39-29	0	0	7	9	1	30	6	0	5	0	0	0	0	13	0	d_Bacteria;p_Firestonebacteria;c_D2-FULL-39-29;o_D2-FULL-39-29
o_Bradymonadales	0	3	12	5	4	12	15	0	2	7	0	0	0	10	0	d_Bacteria;p_Myxococcota;c_Bradymonadia;o_Bradymonadales
o_Fimbriimonadales	0	0	17	0	1	17	3	0	27	0	0	0	0	5	0	d_Bacteria;p_Armatimonadota;c_Fimbriimonadia;o_Fimbriimonadales
o_BM507	4	0	6	1	4	35	3	0	6	4	0	0	0	6	1	d_Bacteria;p_Patescibacteria;c_ABY1;o_BM507
o_Unclassified_p_Firmicutes B	0	0	0	0	0	0	0	35	0	0	20	4	7	1	2	d_Bacteria;p_Firmicutes B;c_Unclassified_p_Firmicutes B;o_Unclassified_p_Firmicutes B
o_Magasanikbacterales	11	18	0	0	1	0	0	0	6	7	0	0	0	0	26	d_Bacteria;p_Patescibacteria;c_ABY1;o_Magasanikbacterales
o_2-01-FULL-39-33	0	0	14	20	2	15	3	0	10	0	0	0	0	5	0	d_Bacteria;p_Patescibacteria;c_ABY1;o_2-01-FULL-39-33
o_Obscuribacterales	0	0	3	7	2	23	18	0	5	0	0	0	0	10	0	d_Bacteria;p_Cyanobacteria;c_Vampirovibrionia;o_Obscuribacterales
o_CADDZG01	0	0	7	11	0	24	4	0	1	0	0	0	0	10	11	d_Bacteria;p_Actinobacteriota;c_UBA4738;o_CADDZG01
o_Dongiales	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Dongiales
o_Pyrinomonadales	1	7	10	2	6	4	9	0	4	0	5	5	0	10	4	d_Bacteria;p_Acidobacteriota;c_Blastocatellia;o_Pyrinomonadales
o_PCC-6307	27	0	4	6	2	4	5	0	3	4	0	1	0	2	8	d_Bacteria;p_Cyanobacteria;c_Cyanobacteriia;o_PCC-6307
o_Gastranaerophilales	0	1	8	3	4	21	13	5	1	3	0	0	0	7	0	d_Bacteria;p_Cyanobacteria;c_Vampirovibrionia;o_Gastranaerophilales
