#ID	ADU	JUN
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Actinomycetaceae.unclassified_Actinomycetaceae.unclassified_Actinomycetaceae	673.07168	1086.3851
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Brevibacteriaceae.Brevibacterium.unclassified_Brevibacterium	1649.5975000000003	1851.07116
Bacteria.Firmicutes_A.Clostridia.Clostridiales.Clostridiaceae.Clostridium.Clostridium_sp000498355	1977.08102	99.53599999999999
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.unclassified_Micrococcaceae.unclassified_Micrococcaceae	1651.7684999999997	1463.28254
Bacteria.Aquificota.Aquificae.Aquificales.Aquificaceae.Aquifex.Aquifex_sp003978875	1520.7459600000002	1501.6166600000001
Bacteria.Firmicutes.Bacilli.Lactobacillales.Streptococcaceae.Streptococcus.Streptococcus_sp000187445	948.533	2318.00762
Bacteria.Firmicutes_A.Clostridia.Peptostreptococcales.Peptostreptococcaceae.CCUG_7971.unclassified_CCUG_7971	918.1261799999999	1355.9597
Bacteria.Proteobacteria.Gammaproteobacteria.PS1.Thioglobaceae.Thioglobus.Thioglobus_sp900180385	1222.4857200000001	1831.5853
Bacteria.Firmicutes.Bacilli.Bacillales_B.DSM_18226.Robertmurraya.Robertmurraya_yapensis	1725.9622200000001	1352.8991600000002
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Microbacteriaceae.unclassified_Microbacteriaceae.unclassified_Microbacteriaceae	387.16402	840.6414199999999
Bacteria.Firmicutes_A.Clostridia.Peptostreptococcales.Peptostreptococcaceae.Paraclostridium.unclassified_Paraclostridium	1408.0368199999998	309.47637999999995
Bacteria.Bacteroidota.Bacteroidia.unclassified_Bacteroidia.unclassified_Bacteroidia.unclassified_Bacteroidia.unclassified_Bacteroidia	1027.8284399999998	1232.14924
Bacteria.Fusobacteriota.Fusobacteriia.Fusobacteriales.Fusobacteriaceae.unclassified_Fusobacteriaceae.unclassified_Fusobacteriaceae	1810.8788	276.37080000000003
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Aeromonadaceae.Aeromonas.Aeromonas_cavernicola	898.3797000000001	1585.76438
Bacteria.Fusobacteriota.Fusobacteriia.Fusobacteriales.Fusobacteriaceae.Cetobacterium_A.Cetobacterium_A_sp905216205	2056.0726	24.46272
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Corynebacterium.Corynebacterium_amycolatum_A	2260.3999400000002	405.88599999999997
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Enterobacteriaceae.Plesiomonas.Plesiomonas_shigelloides	1899.0985600000004	47.75341999999999
Bacteria.Proteobacteria.Gammaproteobacteria.Chromatiales.Sedimenticolaceae.QGON01.QGON01_sp003660235	1037.51366	1123.1053399999998
Bacteria.Bdellovibrionota.Bacteriovoracia.Bacteriovoracales.Bacteriovoracaceae.DB6_IX.DB6_IX_sp002903145	839.3121800000001	1288.7590400000001
Bacteria.Proteobacteria.Gammaproteobacteria.Enterobacterales.Alteromonadaceae.Paraglaciecola.Paraglaciecola_sp011378905	1080.2178399999998	1016.5897000000001
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Rothia.Rothia_halotolerans	1520.5353	736.02318
