#ID	domain	phylum	class	order	family	genus	species
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Kocuria.unclassified_Kocuria	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Micrococcaceae	g__Kocuria	s__unclassified_Kocuria
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Actinomycetaceae.Boudabousia.Boudabousia_marimammalium	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Actinomycetaceae	g__Boudabousia	s__Boudabousia_marimammalium
Bacteria.Firmicutes_A.Clostridia.Clostridiales.Clostridiaceae.unclassified_Clostridiaceae.unclassified_Clostridiaceae	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__unclassified_Clostridiaceae	s__unclassified_Clostridiaceae
Bacteria.Firmicutes_A.Clostridia.Clostridiales.Clostridiaceae.Clostridium.Clostridium_baratii	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Clostridiales	f__Clostridiaceae	g__Clostridium	s__Clostridium_baratii
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.unclassified_Lactobacillaceae.unclassified_Lactobacillaceae	d__Bacteria	p__Firmicutes	c__Bacilli	o__Lactobacillales	f__Lactobacillaceae	g__unclassified_Lactobacillaceae	s__unclassified_Lactobacillaceae
Bacteria.Firmicutes_A.Clostridia.Peptostreptococcales.Peptostreptococcaceae.unclassified_Peptostreptococcaceae.unclassified_Peptostreptococcaceae	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__unclassified_Peptostreptococcaceae	s__unclassified_Peptostreptococcaceae
Bacteria.Firmicutes_A.Clostridia.unclassified_Clostridia.unclassified_Clostridia.unclassified_Clostridia.unclassified_Clostridia	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__unclassified_Clostridia	f__unclassified_Clostridia	g__unclassified_Clostridia	s__unclassified_Clostridia
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.unclassified_Actinomycetales.unclassified_Actinomycetales.unclassified_Actinomycetales	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__unclassified_Actinomycetales	g__unclassified_Actinomycetales	s__unclassified_Actinomycetales
Bacteria.Bacteroidota.Bacteroidia.Flavobacteriales.Flavobacteriaceae.Aureibaculum.Aureibaculum_sp003449015	d__Bacteria	p__Bacteroidota	c__Bacteroidia	o__Flavobacteriales	f__Flavobacteriaceae	g__Aureibaculum	s__Aureibaculum_sp003449015
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Dermabacteraceae.TAE3_ERU5.TAE3_ERU5_sp019218375	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Dermabacteraceae	g__TAE3_ERU5	s__TAE3_ERU5_sp019218375
Bacteria.Campylobacterota.Campylobacteria.Campylobacterales.Helicobacteraceae.unclassified_Helicobacteraceae.unclassified_Helicobacteraceae	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__unclassified_Helicobacteraceae	s__unclassified_Helicobacteraceae
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Microbacteriaceae.Microbacterium.Microbacterium_arborescens	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Microbacteriaceae	g__Microbacterium	s__Microbacterium_arborescens
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Cellulomonadaceae.Cellulomonas.Cellulomonas_oligotrophica	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Actinomycetales	f__Cellulomonadaceae	g__Cellulomonas	s__Cellulomonas_oligotrophica
Bacteria.Campylobacterota.Campylobacteria.Campylobacterales.Helicobacteraceae.Helicobacter_G.Helicobacter_G_brantae	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_G	s__Helicobacter_G_brantae
