genus	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
g_Alteribacter	0	20.2533	317.7533	33.6998	85.5396	94.7575	127.9452	0	33.4701	0	0	0	0	94.4457	0	d_Bacteria;p_Firmicutes;c_Bacilli;o_Bacillales H;f_Salisediminibacteriaceae;g_Alteribacter
g_Rathayibacter	27.909	251.5852	0	0	272.3603	0	97.5917	0	12.8332	76.7739	3.7841	3.5604	0	39.1686	15.8988	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Microbacteriaceae;g_Rathayibacter
g_Desulfuribacillus	0	0	0	0	0	0	29.6091	708.6124	0	0	4.5924	4.3209	29.3119	23.7674	0	d_Bacteria;p_Firmicutes;c_Bacilli;o_Desulfuribacillales;f_Desulfuribacillaceae;g_Desulfuribacillus
g_Tersicoccus	128.4501	109.167	0	0	0	0	0	5.9373	11.2016	217.2457	2.1933	34.9374	53.3724	0	236.5627	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Tersicoccus
g_UBA12059	0	0	64.7268	223.2296	69.5387	93.1269	103.6684	0	115.0014	0	0	0	0	126.9876	0	d_Bacteria;p_Spirochaetota;c_Spirochaetia;o_Treponematales;f_UBA12059;g_UBA12059
g_Pseudoalteromonas	0	0	102.5085	83.1916	22.9095	214.4083	123.8473	0	0	0	2.4011	24.9508	0	219.2711	0	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Alteromonadaceae;g_Pseudoalteromonas
g_Pseudonocardia	148.3033	489.4182	0	0	9.4815	0	0	16.0505	8.2309	68.6364	1.3176	2.5166	6.6521	10.2859	29.8086	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Pseudonocardiaceae;g_Pseudonocardia
g_Stappia	0	0	93.9264	230.9556	10.849	22.1182	340.9663	0	0	0	0	29.2065	0	22.7724	34.3549	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Stappiaceae;g_Stappia
g_Janibacter	386.8175	13.0274	4.1484	0	3.7084	0	0	36.2245	11.2016	13.7172	2.0074	16.99	3.8608	0	291.5808	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermatophilaceae;g_Janibacter
g_Hongsoonwoonella	0	0	25.6271	0	68.7286	72.4176	185.7709	0	74.9144	0	0	0	0	347.9445	7.2553	d_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Stappiaceae;g_Hongsoonwoonella
g_Serinicoccus	123.7749	0	39.8032	39.6926	25.2603	119.7408	0	17.5353	63.7041	27.071	2.0278	34.2754	42.4469	97.1934	149.5647	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermatophilaceae;g_Serinicoccus
g_Schwartzia	0	0	0	0	0	0	0	0	0	0	12.9592	768.1716	0	0	0	d_Bacteria;p_Firmicutes C;c_Negativicutes;o_Selenomonadales;f_Selenomonadaceae;g_Schwartzia
g_Desulfarculus	26.2003	0	80.4549	246.6376	18.4211	96.5854	148.1848	0	24.0949	0	0	0	0	138.4548	0	d_Bacteria;p_Desulfobacterota;c_Desulfarculia;o_Desulfarculales;f_Desulfarculaceae;g_Desulfarculus
g_CAIRAY01	3.6652	0	156.2761	192.2328	41.505	99.7534	90.921	0	71.0828	0	0	0	0	119.6752	0	d_Bacteria;p_Fibrobacterota;c_Fibrobacteria;o_Fibrobacterales;f_Fibrobacteraceae;g_CAIRAY01
g_Ginsengibacter	0	0	49.7393	306.7308	36.8422	284.4552	24.8958	0	48.1898	0	0	0	0	24.1186	0	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Chitinophagales;f_Chitinophagaceae;g_Ginsengibacter
g_Terracoccus	561.6322	36.8898	0	0	5.0881	0	0	22.1991	0	0	1.451	18.9688	8.9247	0	114.3611	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Dermatophilaceae;g_Terracoccus
g_Salmonella	0	0	0	0	0	0	0	0	0	0	603.6341	2.9489	161.8619	0	0	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Salmonella
g_Antrihabitans	0	131.4507	395.1033	0	19.6225	124.0545	0	0	76.585	0	0	0	0	21.2873	0	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Mycobacteriales;f_Mycobacteriaceae;g_Antrihabitans
g_Unclassified_o_Pedosphaerales	0	0	109.7509	209.309	0	240.7248	163.7098	0	15.4132	0	0	0	0	26.6091	0	d_Bacteria;p_Verrucomicrobiota;c_Verrucomicrobiae;o_Pedosphaerales;f_Unclassified_o_Pedosphaerales;g_Unclassified_o_Pedosphaerales
g_JAAURS01	0	0	199.7625	138.9241	113.6411	119.7408	87.7623	0	0	0	0	0	0	105.6707	0	d_Bacteria;p_Cyanobacteria;c_Cyanobacteriia;o_Thermosynechococcales;f_Thermosynechococcaceae;g_JAAURS01
g_Enterococcus	0	0	223.827	54.3574	0	93.7029	51.7371	0	73.9376	19.9751	7.5439	61.2133	143.8799	0	27.9871	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Enterococcaceae;g_Enterococcus
g_Unclassified_o_Fusobacteriales	0	0	14.2518	0	6.1222	0	0	528.9263	0	0	81.4417	4.9806	94.9499	26.5385	0.2153	d_Bacteria;p_Fusobacteriota;c_Fusobacteriia;o_Fusobacteriales;f_Unclassified_o_Fusobacteriales;g_Unclassified_o_Fusobacteriales
g_JACQCA01	1.0192	0	173.1478	176.9592	22.9313	120.811	98.7848	0	72.1738	0	0	0	0.9588	90.1786	0.235	d_Bacteria;p_Nitrospirota;c_Nitrospiria;o_JACQBZ01;f_JACQBZ01;g_JACQCA01
g_REDSEA-S09-B13	12.636	0	0	285.7551	0	113.6754	24.3007	0	105.8352	97.3276	0	0	0	117.0377	0	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Arenicellales;f_UBA868;g_REDSEA-S09-B13
g_Renibacterium	124.5077	43.9113	0	0	0	0	0	8.2789	69.9739	418.6164	4.0389	25.8609	45.5471	0	12.7239	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Micrococcaceae;g_Renibacterium
