order	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
o_Nannocystales	29.9979	404.8826	1534.6613	546.977	166.1907	1556.9272	626.4525	0	211.2809	175.9941	1.4448	0	0	573.8448	0.2951	d_Bacteria;p_Myxococcota;c_Polyangia;o_Nannocystales
o_Acidobacteriales	352.7991	949.0276	175.6613	905.1411	560.9941	822.3955	765.7957	48.1131	139.5304	201.4809	1.9483	0.982	19.4015	849.4628	6.6689	d_Bacteria;p_Acidobacteriota;c_Acidobacteriae;o_Acidobacteriales
o_UBA1407	18.1036	144.9432	868.3535	1477.8059	87.026	742.6097	1508.9236	56.708	52.7275	0	0	0	14.3409	678.7449	0	d_Bacteria;p_Verrucomicrobiota;c_Lentisphaeria;o_UBA1407
o_Promineofilales	78.8201	487.1873	1057.9635	2220.3241	394.98	504.4921	250.2579	0	133.4871	32.043	2.8755	0	15.8682	288.2152	12.8485	d_Bacteria;p_Chloroflexota;c_Anaerolineae;o_Promineofilales
o_Holophagales	174.5949	1369.4944	453.9642	476.9916	365.9833	795.6725	488.1413	64.2837	299.5604	294.4639	1.7719	13.5998	14.9095	599.1321	1.0781	d_Bacteria;p_Acidobacteriota;c_Holophagae;o_Holophagales
o_Unclassified_p_Bacteroidota	32.0967	42.1245	1078.873	781.6889	165.9371	839.5257	724.6756	6.4528	216.7098	0	0	200.3461	0	1256.7761	21.7222	d_Bacteria;p_Bacteroidota;c_Unclassified_p_Bacteroidota;o_Unclassified_p_Bacteroidota
o_Elusimicrobiales	0	0	894.9855	1326.1758	105.5555	910.9572	791.9296	0	321.8112	0	0	0	0	952.1018	0	d_Bacteria;p_Elusimicrobiota;c_Elusimicrobia;o_Elusimicrobiales
o_Desulfovibrionales	25.5095	278.3568	611.4499	422.3791	292.4766	1211.2224	940.4939	121.3865	614.8017	35.9808	6.2285	48.2467	24.3544	595.0511	6.4073	d_Bacteria;p_Desulfobacterota I;c_Desulfovibrionia;o_Desulfovibrionales
o_SCGC-AAA003-L08	70.8897	638.2187	1230.2626	1288.3587	527.1223	92.9639	1134.3309	16.1448	0	78.6529	0	16.9726	0	74.5926	0	d_Bacteria;p_Marinisomatota;c_Marinisomatia;o_SCGC-AAA003-L08
o_PHBI01	53.7686	146.679	754.7575	798.5628	257.5881	1031.4245	404.216	0	249.5557	24.1683	4.0465	0	0	1438.7007	0.0682	d_Bacteria;p_Myxococcota;c_UBA9042;o_PHBI01
o_Desulfobacterales	139.977	951.417	1001.1201	202.9484	531.5462	877.9115	514.0343	63.9166	144.8598	36.3616	1.2177	46.9648	38.9364	567.5634	23.4557	d_Bacteria;p_Desulfobacterota;c_Desulfobacteria;o_Desulfobacterales
o_Chloroflexales	224.7629	974.7551	392.4042	499.3841	219.6507	1540.7225	633.1381	7.1452	48.1165	83.0557	0	4.5271	18.0442	372.4386	48.2113	d_Bacteria;p_Chloroflexota;c_Chloroflexia;o_Chloroflexales
o_Ktedonobacterales	162.3902	0	1730.015	182.6865	1017.5554	316.9509	1134.8133	0	2.9942	0	0	4.1077	0	426.3044	57.3357	d_Bacteria;p_Chloroflexota;c_Ktedonobacteria;o_Ktedonobacterales
