family	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	taxonomy
f_Unclassified_o_Actinomycetales	9066.9957	2622.4298	299.6419	393.5979	288.2367	75.5444	415.1911	648.2629	2218.6903	5034.2142	95.1615	966.1395	3998.0301	426.5661	8632.6448	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Unclassified_o_Actinomycetales
f_Weeksellaceae	874.6251	12.8792	121.8614	114.1505	6.0256	65.592	33.5898	1031.9141	0	1.6045	56.8667	31067.8339	223.6928	21.5736	115.2071	d_Bacteria;p_Bacteroidota;c_Bacteroidia;o_Flavobacteriales;f_Weeksellaceae
f_Alteromonadaceae	435.9424	606.3097	5179.7765	5566.3439	1097.1817	5703.0879	3619.8368	34.3722	4048.8433	384.4178	104.1813	66.6974	103.5543	5362.4279	27.8964	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Alteromonadaceae
f_Thioglobaceae	379.9221	2069.417	5445.5156	6061.7932	1778.9286	4699.3545	3555.8789	35.6	2011.6744	260.3312	10.6188	5.1593	0	3452.624	21.5877	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_PS1;f_Thioglobaceae
f_Cellulomonadaceae	984.9496	219.211	5505.501	6292.5201	994.5236	5303.0903	2542.8668	52.3468	1142.2309	767.9944	16.1772	98.0475	300.8359	4453.2861	982.4991	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Cellulomonadaceae
f_Brevibacteriaceae	9619.6744	3284.6021	84.7348	0	388.7297	29.3058	43.6555	802.7418	10262.728	683.3551	259.7365	99.8895	1152.73	69.8204	682.6239	d_Bacteria;p_Actinobacteriota;c_Actinomycetia;o_Actinomycetales;f_Brevibacteriaceae
f_Unclassified_o_Campylobacterales	311.1138	128.4123	305.4674	96.0256	15444.8511	36.8544	460.5407	309.2238	29.8745	14.0763	70.8695	615.0519	34.5281	6914.1052	109.4028	d_Bacteria;p_Campylobacterota;c_Campylobacteria;o_Campylobacterales;f_Unclassified_o_Campylobacterales
f_Aeromonadaceae	553.2478	1648.8062	3522.0361	3583.7715	2912.2436	3342.3001	3315.7648	183.1169	1867.0781	295.5475	25.2394	21.8587	121.9401	3119.7744	120.3877	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Aeromonadaceae
f_Pasteurellaceae	349.832	612.0915	962.2144	712.3948	433.861	328.6822	11024.3622	796.4907	677.5537	283.8552	5044.7072	2419.7086	444.9491	415.5142	26.4014	d_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Pasteurellaceae
f_Streptococcaceae	824.2423	7942.6385	2368.1469	2093.8995	951.7169	1635.4809	855.3284	336.6302	1438.8699	2721.0205	20.0114	46.2954	403.1864	1675.9971	123.112	d_Bacteria;p_Firmicutes;c_Bacilli;o_Lactobacillales;f_Streptococcaceae
