KEGG_L3	S149	S150	S152	S153	S157	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107	description
ko00791	0	0	0	0	0	0	0	0	0	0	1.5823	2.7974	0	0	29.5519	Metabolism; Xenobiotics biodegradation and metabolism; Atrazine degradation
ko00830	38.3003	45.7637	171.853	136.4994	35.6805	123.5901	90.7611	7.3941	50.668	19.748	10.479	19.2519	8.1974	84.9413	40.7008	Metabolism; Metabolism of cofactors and vitamins; Retinol metabolism
ko00860	115.3897	65.8424	47.7271	38.2905	146.5313	33.9397	52.7915	160.9059	52.558	90.7192	187.2263	151.0753	157.3995	87.4838	127.9594	Metabolism; Metabolism of cofactors and vitamins; Porphyrin metabolism
ko00900	215.1408	143.9648	67.71	23.0167	241.2354	9.5689	66.1011	173.0556	116.9253	279.1939	180.6669	228.7856	224.7122	125.6073	200.3253	Metabolism; Metabolism of terpenoids and polyketides; Terpenoid backbone biosynthesis
ko00903	176.3718	0	0	0	0	0	0	0	0	0	0	276.5732	0	0	342.5562	Metabolism; Metabolism of terpenoids and polyketides; Limonene and pinene degradation
ko00906	6.7864	4.4844	0	0	0.6981	0	0.3285	2.3973	2.6248	16.1537	0.2302	24.4598	2.8606	0.7049	13.7403	Metabolism; Metabolism of terpenoids and polyketides; Carotenoid biosynthesis
ko00909	0.2667	0	0	0	0	0	0	0	0	0	0	0.0376	0	0	1.0902	Metabolism; Metabolism of terpenoids and polyketides; Sesquiterpenoid and triterpenoid biosynthesis
ko00910	132.2295	53.2239	49.3874	25.4034	159.2992	7.8415	55.3899	155.0256	40.6618	75.7096	211.2184	163.6225	123.5044	76.7206	106.715	Metabolism; Energy metabolism; Nitrogen metabolism
ko00920	106.7099	49.9339	17.081	13.6957	38.3495	8.5481	29.2155	66.2077	38.9178	79.4343	212.3009	146.2182	114.5692	21.253	120.3729	Metabolism; Energy metabolism; Sulfur metabolism
ko00930	71.2253	153.2511	0	90.1627	0	0	0	5.4744	47.6615	60.7735	3.38	115.3217	19.5048	0	108.4367	Metabolism; Xenobiotics biodegradation and metabolism; Caprolactam degradation
ko00940	0	0	0	0	0	0	0	4.5889	0	0	0	0	0	0	0	Metabolism; Biosynthesis of other secondary metabolites; Phenylpropanoid biosynthesis
ko00960	76.2095	41.6728	0	0	0	0	0	38.6173	19.8873	30.467	0	77.3563	50.1126	0	70.9208	Metabolism; Biosynthesis of other secondary metabolites; Tropane, piperidine and pyridine alkaloid biosynthesis
ko00965	108.5612	0	0	0	0	0	0	1.9049	30.2619	0	0.3129	19.332	14.0815	0	10.1069	Metabolism; Biosynthesis of other secondary metabolites; Betalain biosynthesis
ko00970	291.332	0	0	0	595.872	0	0	468.5634	132.4088	559.5484	300.551	376.7616	480.5278	0	295.7965	Genetic Information Processing; Translation; Aminoacyl-tRNA biosynthesis
ko00980	59.3451	68.0486	108.3412	95.0509	34.1377	118.3367	69.3123	0	33.9932	0	0	128.553	0	36.9325	113.6409	Metabolism; Xenobiotics biodegradation and metabolism; Metabolism of xenobiotics by cytochrome P450
ko00981	0	0	41.1329	0	13.4176	0	0	0	0	0	0	0	0	0	0	Metabolism; Metabolism of terpenoids and polyketides; Insect hormone biosynthesis
ko00983	317.9085	287.6975	162.663	200.1017	293.1452	99.3747	236.4333	421.3199	221.5754	432.1794	370.3016	339.2252	496.4418	189.6985	332.8055	Metabolism; Xenobiotics biodegradation and metabolism; Drug metabolism - other enzymes
ko00984	10.2867	19.1017	0	0	1.5651	0	0	2.1071	11.7697	38.947	0.5898	111.7524	5.5371	1.3928	2.1243	Metabolism; Xenobiotics biodegradation and metabolism; Steroid degradation
ko00997	13.0938	0	0	0	0	0	0	0.3246	0	0.1809	0.0435	0	0.1881	0	0.0719	Metabolism; Biosynthesis of other secondary metabolites; Biosynthesis of various other secondary metabolites
ko00998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.1675	Metabolism; Biosynthesis of other secondary metabolites; Biosynthesis of various antibiotics
ko01040	58.0357	37.4002	64.5226	72.8129	7.5042	94.8243	80.4648	0	52.4485	0	0	0	0	81.8809	67.9412	Metabolism; Lipid metabolism; Biosynthesis of unsaturated fatty acids
ko01053	73.0452	33.4541	0	0	3.3586	0	0	5.6715	38.9501	64.042	59.358	36.9483	28.4997	0	28.7527	Metabolism; Metabolism of terpenoids and polyketides; Biosynthesis of siderophore group nonribosomal peptides
ko01501	34.5456	0	0	0	0	0	0	0	0	0	57.512	51.6769	73.9414	0	72.0078	Human Diseases; Drug resistance: antimicrobial; beta-Lactam resistance
ko01502	215.3784	0	0	0	0	0	0	0	0	0	0	224.1045	388.3863	0	279.984	Human Diseases; Drug resistance: antimicrobial; Vancomycin resistance
