#ID	S113	S114	S130	S146	S802	S20	S27	S32	S45	S107
Bacteria.Firmicutes_A.Clostridia.Clostridiales.Clostridiaceae.unclassified_Clostridiaceae.unclassified_Clostridiaceae	0	145	16718	5	2	27657	1001	6530	71	2440
Bacteria.Proteobacteria.Alphaproteobacteria.Caulobacterales.Caulobacteraceae.Brevundimonas.Brevundimonas_naejangsanensis_A	0	1	35	11	22	21	40914	254	1	13085
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Ligilactobacillus.Ligilactobacillus_aviarius	9	356	6833	196	9872	2815	32301	724	33	40
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Microbacteriaceae.Leucobacter.Leucobacter_sp017990305	0	1	7	4	9	11	260	18	0	52395
Bacteria.Actinobacteriota.Actinomycetia.Mycobacteriales.Mycobacteriaceae.Nocardia.Nocardia_nova_B	499	7016	754	3196	5607	492	598	417	1553	708
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales.Rhizobiaceae.unclassified_Rhizobiaceae.unclassified_Rhizobiaceae	1	0	22	19	27	10	5560	102	0	43373
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.Acidovorax.unclassified_Acidovorax	4	0	18	28	16	13	46848	111	0	896
Bacteria.Firmicutes_A.Clostridia.unclassified_Clostridia.unclassified_Clostridia.unclassified_Clostridia.unclassified_Clostridia	109	173	8488	64	62	17944	593	2770	117	17118
Bacteria.Actinobacteriota.Actinomycetia.Actinomycetales.Micrococcaceae.Rothia.unclassified_Rothia	33	171	255	3288	9433	148	5279	1226	70	13457
Bacteria.Proteobacteria.Alphaproteobacteria.Caulobacterales.Caulobacteraceae.Brevundimonas.unclassified_Brevundimonas	2	3	49	10	17	31	30027	233	4	11134
Bacteria.Actinobacteriota.Actinomycetia.Propionibacteriales.Propionibacteriaceae.unclassified_Propionibacteriaceae.unclassified_Propionibacteriaceae	3	1	160	285	191	35	1038	180	0	36772
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.Giesbergeria.unclassified_Giesbergeria	0	0	12	27	5	11	37724	18	0	854
Bacteria.Proteobacteria.Alphaproteobacteria.Rhodobacterales.Rhodobacteraceae.unclassified_Rhodobacteraceae.unclassified_Rhodobacteraceae	5	20	100	47	217	22	26299	169	3	10606
Bacteria.Proteobacteria.Gammaproteobacteria.Xanthomonadales.Xanthomonadaceae.Lysobacter.unclassified_Lysobacter	0	0	51	0	2	6	1864	11	0	35606
Bacteria.Firmicutes.Bacilli.Lactobacillales.Lactobacillaceae.Ligilactobacillus.Ligilactobacillus_faecavium	10	130	2105	66	3225	1252	29779	478	9	18
