#ID	domain	phylum	class	order	family	genus	species
Bacteria.Actinobacteriota.Actinomycetia.Propionibacteriales.Propionibacteriaceae.Arachnia.unclassified_Arachnia	d__Bacteria	p__Actinobacteriota	c__Actinomycetia	o__Propionibacteriales	f__Propionibacteriaceae	g__Arachnia	s__unclassified_Arachnia
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae.Pseudomonas_E.Pseudomonas_E_fluorescens_BA	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__Pseudomonas_E_fluorescens_BA
Bacteria.Firmicutes_A.Clostridia.Peptostreptococcales.Peptostreptococcaceae.unclassified_Peptostreptococcaceae.unclassified_Peptostreptococcaceae	d__Bacteria	p__Firmicutes_A	c__Clostridia	o__Peptostreptococcales	f__Peptostreptococcaceae	g__unclassified_Peptostreptococcaceae	s__unclassified_Peptostreptococcaceae
Bacteria.Campylobacterota.Campylobacteria.Campylobacterales.Helicobacteraceae.Helicobacter_G.unclassified_Helicobacter_G	d__Bacteria	p__Campylobacterota	c__Campylobacteria	o__Campylobacterales	f__Helicobacteraceae	g__Helicobacter_G	s__unclassified_Helicobacter_G
Bacteria.Proteobacteria.Gammaproteobacteria.Pseudomonadales.Pseudomonadaceae.Pseudomonas_E.unclassified_Pseudomonas_E	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Pseudomonadales	f__Pseudomonadaceae	g__Pseudomonas_E	s__unclassified_Pseudomonas_E
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales_A.Rhizobiaceae_A.Ochrobactrum_A.Ochrobactrum_A_quorumnocens	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales_A	f__Rhizobiaceae_A	g__Ochrobactrum_A	s__Ochrobactrum_A_quorumnocens
Bacteria.Proteobacteria.Gammaproteobacteria.unclassified_Gammaproteobacteria.unclassified_Gammaproteobacteria.unclassified_Gammaproteobacteria.unclassified_Gammaproteobacteria	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__unclassified_Gammaproteobacteria	f__unclassified_Gammaproteobacteria	g__unclassified_Gammaproteobacteria	s__unclassified_Gammaproteobacteria
Bacteria.Fusobacteriota.Fusobacteriia.Fusobacteriales.Fusobacteriaceae.Cetobacterium_A.unclassified_Cetobacterium_A	d__Bacteria	p__Fusobacteriota	c__Fusobacteriia	o__Fusobacteriales	f__Fusobacteriaceae	g__Cetobacterium_A	s__unclassified_Cetobacterium_A
Bacteria.Proteobacteria.Alphaproteobacteria.Rhizobiales_A.Rhizobiaceae_A.Pseudochrobactrum.Pseudochrobactrum_saccharolyticum	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	o__Rhizobiales_A	f__Rhizobiaceae_A	g__Pseudochrobactrum	s__Pseudochrobactrum_saccharolyticum
Bacteria.Proteobacteria.Gammaproteobacteria.Burkholderiales.Burkholderiaceae.Alcaligenes.Alcaligenes_pakistanensis	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	o__Burkholderiales	f__Burkholderiaceae	g__Alcaligenes	s__Alcaligenes_pakistanensis
