#ID	ADU	SEN
Environmental_Information_Processing.Signal_transduction.Two__component_system	29.54784	92.35854
Cellular_Processes.Cellular_community__prokaryotes.Quorum_sensing	60.85608	147.96366
Cellular_Processes.Cellular_community__prokaryotes.Biofilm_formation__Escherichia_coli	25.681099999999997	109.01954
Cellular_Processes.Cell_motility.Bacterial_chemotaxis	40.7798	232.26296000000002
Cellular_Processes.Cell_motility.Flagellar_assembly	35.5249	222.16842000000003
Environmental_Information_Processing.Membrane_transport.Phosphotransferase_system_(PTS)	165.68321999999998	182.91555999999997
Genetic_Information_Processing.Translation.Ribosome	273.57284	257.12588000000005
Genetic_Information_Processing.Folding,_sorting_and_degradation.RNA_degradation	110.61131999999998	130.21402
Genetic_Information_Processing.Replication_and_repair.DNA_replication	134.18753999999998	213.04128
Genetic_Information_Processing.Folding,_sorting_and_degradation.Proteasome	17.061280000000004	3.1412199999999997
Genetic_Information_Processing.Folding,_sorting_and_degradation.Protein_export	223.5672	300.6372
Environmental_Information_Processing.Membrane_transport.Bacterial_secretion_system	93.06856	237.39749999999998
Organismal_Systems.Endocrine_system.PPAR_signaling_pathway	51.170159999999996	38.153679999999994
Genetic_Information_Processing.Replication_and_repair.Base_excision_repair	144.08506	226.58774
Genetic_Information_Processing.Replication_and_repair.Nucleotide_excision_repair	77.28032	144.2558
Genetic_Information_Processing.Replication_and_repair.Mismatch_repair	198.32401999999996	318.71006
Genetic_Information_Processing.Replication_and_repair.Homologous_recombination	161.69353999999998	234.39180000000002
Environmental_Information_Processing.Signal_transduction.Calcium_signaling_pathway	16.22858	3.54366
Environmental_Information_Processing.Signal_transduction.cGMP__PKG_signaling_pathway	71.09528	26.016280000000002
Environmental_Information_Processing.Signal_transduction.cAMP_signaling_pathway	20.08172	5.39764
Environmental_Information_Processing.Signal_transduction.HIF__1_signaling_pathway	89.2562	61.04870000000001
Environmental_Information_Processing.Signal_transduction.FoxO_signaling_pathway	15.417960000000003	10.31182
Environmental_Information_Processing.Signal_transduction.Phosphatidylinositol_signaling_system	22.90162	30.55616
Environmental_Information_Processing.Signal_transduction.Phospholipase_D_signaling_pathway	11.643919999999998	9.0557
Cellular_Processes.Cell_growth_and_death.Cell_cycle__Caulobacter	65.82988	256.94344
Cellular_Processes.Cell_growth_and_death.p53_signaling_pathway	13.235840000000001	10.54122
Genetic_Information_Processing.Folding,_sorting_and_degradation.Ubiquitin_mediated_proteolysis	73.94727999999999	29.53036
Genetic_Information_Processing.Folding,_sorting_and_degradation.Sulfur_relay_system	108.28960000000002	237.49178
Genetic_Information_Processing.Folding,_sorting_and_degradation.Protein_processing_in_endoplasmic_reticulum	17.50542	10.700219999999998
Cellular_Processes.Transport_and_catabolism.Lysosome	18.1119	16.54542
Cellular_Processes.Transport_and_catabolism.Phagosome	20.935299999999998	8.88496
Cellular_Processes.Transport_and_catabolism.Peroxisome	44.397499999999994	68.06030000000001
Environmental_Information_Processing.Signal_transduction.PI3K__Akt_signaling_pathway	20.218020000000003	5.335800000000001
Environmental_Information_Processing.Signal_transduction.AMPK_signaling_pathway	18.18336	24.6899
Cellular_Processes.Cell_growth_and_death.Apoptosis	13.054599999999999	8.11906
Organismal_Systems.Aging.Longevity_regulating_pathway	8.63628	15.959579999999999
Organismal_Systems.Aging.Longevity_regulating_pathway__worm	51.24249999999999	98.46288
Organismal_Systems.Aging.Longevity_regulating_pathway__multiple_species	16.31282	24.996859999999998
Cellular_Processes.Cell_growth_and_death.Apoptosis__fly	12.65424	19.32708
Cellular_Processes.Cell_growth_and_death.Ferroptosis	33.471140000000005	24.03502
Cellular_Processes.Cell_growth_and_death.Necroptosis	24.850280000000005	4.00698
Organismal_Systems.Circulatory_system.Cardiac_muscle_contraction	114.99298000000002	46.21882
Organismal_Systems.Circulatory_system.Adrenergic_signaling_in_cardiomyocytes	92.12953999999999	32.69792
Organismal_Systems.Circulatory_system.Vascular_smooth_muscle_contraction	170.07474	77.28328
Environmental_Information_Processing.Signal_transduction.Notch_signaling_pathway	33.890100000000004	18.29698
Environmental_Information_Processing.Signal_transduction.Hedgehog_signaling_pathway	34.76604	8.081199999999999
Environmental_Information_Processing.Signal_transduction.TGF__beta_signaling_pathway	18.88578	6.802020000000001
Organismal_Systems.Development_and_regeneration.Axon_guidance	19.12164	6.6486
Organismal_Systems.Development_and_regeneration.Axon_regeneration	14.432400000000001	13.904839999999998
Environmental_Information_Processing.Signal_transduction.Apelin_signaling_pathway	26.599860000000007	5.77326
Environmental_Information_Processing.Signal_transduction.Hippo_signaling_pathway	13.7754	3.6136999999999992
Environmental_Information_Processing.Signal_transduction.Hippo_signaling_pathway__fly	13.20732	4.13532
Cellular_Processes.Cellular_community__eukaryotes.Focal_adhesion	24.826480000000004	11.83884
Environmental_Information_Processing.Signaling_molecules_and_interaction.ECM__receptor_interaction	33.06292	16.32876
Environmental_Information_Processing.Signaling_molecules_and_interaction.Cell_adhesion_molecules	37.751999999999995	14.890620000000002
Cellular_Processes.Cellular_community__eukaryotes.Adherens_junction	18.48622	4.28784
Cellular_Processes.Cellular_community__eukaryotes.Tight_junction	171.77234000000004	80.0273
Cellular_Processes.Cellular_community__eukaryotes.Gap_junction	21.38938	8.08742
Organismal_Systems.Immune_system.Complement_and_coagulation_cascades	11.45204	5.93434
Organismal_Systems.Immune_system.Platelet_activation	25.539859999999997	12.088220000000002
Organismal_Systems.Immune_system.Antigen_processing_and_presentation	20.1985	9.71888
Organismal_Systems.Immune_system.Neutrophil_extracellular_trap_formation	12.87588	3.9491800000000006
Organismal_Systems.Immune_system.NOD__like_receptor_signaling_pathway	22.753300000000003	19.899739999999998
Organismal_Systems.Immune_system.RIG__I__like_receptor_signaling_pathway	14.833919999999997	6.3234
Organismal_Systems.Immune_system.Toll_and_Imd_signaling_pathway	17.55452	9.42428
Organismal_Systems.Immune_system.IL__17_signaling_pathway	12.481040000000002	5.1398600000000005
Organismal_Systems.Immune_system.Th1_and_Th2_cell_differentiation	19.79328	6.9607600000000005
Organismal_Systems.Immune_system.B_cell_receptor_signaling_pathway	13.617939999999999	3.3130399999999995
Environmental_Information_Processing.Signal_transduction.TNF_signaling_pathway	13.214960000000001	3.58744
Organismal_Systems.Immune_system.Leukocyte_transendothelial_migration	54.291459999999994	21.84386
Organismal_Systems.Environmental_adaptation.Circadian_entrainment	31.054039999999997	11.523219999999998
Organismal_Systems.Environmental_adaptation.Thermogenesis	21.66556	5.750439999999999
Organismal_Systems.Nervous_system.Synaptic_vesicle_cycle	23.532680000000003	7.78036
Organismal_Systems.Nervous_system.Glutamatergic_synapse	27.9052	22.610139999999998
Organismal_Systems.Nervous_system.Serotonergic_synapse	13.340359999999999	5.95106
Organismal_Systems.Nervous_system.GABAergic_synapse	32.01394	21.87286
Organismal_Systems.Nervous_system.Long__term_depression	31.973360000000003	14.9936
Organismal_Systems.Sensory_system.Olfactory_transduction	50.79828	16.1726
Cellular_Processes.Cell_motility.Regulation_of_actin_cytoskeleton	100.03872000000001	46.59482
Organismal_Systems.Endocrine_system.Insulin_signaling_pathway	20.95462	12.39146
Organismal_Systems.Endocrine_system.Insulin_secretion	20.13508	4.965120000000001
Organismal_Systems.Endocrine_system.Ovarian_steroidogenesis	24.709660000000003	14.621599999999997
Organismal_Systems.Endocrine_system.Progesterone__mediated_oocyte_maturation	12.254720000000002	11.11416
Organismal_Systems.Endocrine_system.Estrogen_signaling_pathway	30.52830000000001	10.2631
Organismal_Systems.Endocrine_system.Thyroid_hormone_synthesis	27.54484	23.51826
Organismal_Systems.Endocrine_system.Thyroid_hormone_signaling_pathway	85.50894000000001	33.64248
Organismal_Systems.Endocrine_system.Adipocytokine_signaling_pathway	35.871	11.17238
Organismal_Systems.Endocrine_system.Oxytocin_signaling_pathway	25.85214	7.727900000000001
Organismal_Systems.Endocrine_system.Glucagon_signaling_pathway	125.76471999999998	98.22565999999999
Organismal_Systems.Endocrine_system.Regulation_of_lipolysis_in_adipocytes	24.640899999999995	8.3831
Organismal_Systems.Endocrine_system.Renin_secretion	25.517260000000004	10.052600000000002
Organismal_Systems.Endocrine_system.Aldosterone_synthesis_and_secretion	17.29138	4.06496
Organismal_Systems.Endocrine_system.Relaxin_signaling_pathway	15.18204	5.96938
Organismal_Systems.Endocrine_system.Parathyroid_hormone_synthesis,_secretion_and_action	17.03546	7.870759999999999
Human_Diseases.Endocrine_and_metabolic_disease.Type_II_diabetes_mellitus	39.05144	11.97
Human_Diseases.Endocrine_and_metabolic_disease.Insulin_resistance	38.350319999999996	26.83062
Human_Diseases.Endocrine_and_metabolic_disease.Alcoholic_liver_disease	14.28364	4.21862
Human_Diseases.Endocrine_and_metabolic_disease.Type_I_diabetes_mellitus	31.89996	49.172540000000005
Organismal_Systems.Excretory_system.Aldosterone__regulated_sodium_reabsorption	10.822140000000001	5.97966
