#ID	first	second	third
Environmental_Information_Processing.Signal_transduction.TGF__beta_signaling_pathway	L1__Environmental_Information_Processing	L2__Signal_transduction	L3__TGF__beta_signaling_pathway
Organismal_Systems.Development_and_regeneration.Axon_guidance	L1__Organismal_Systems	L2__Development_and_regeneration	L3__Axon_guidance
Organismal_Systems.Development_and_regeneration.Axon_regeneration	L1__Organismal_Systems	L2__Development_and_regeneration	L3__Axon_regeneration
Environmental_Information_Processing.Signal_transduction.Apelin_signaling_pathway	L1__Environmental_Information_Processing	L2__Signal_transduction	L3__Apelin_signaling_pathway
Environmental_Information_Processing.Signal_transduction.Hippo_signaling_pathway	L1__Environmental_Information_Processing	L2__Signal_transduction	L3__Hippo_signaling_pathway
Environmental_Information_Processing.Signal_transduction.Hippo_signaling_pathway__fly	L1__Environmental_Information_Processing	L2__Signal_transduction	L3__Hippo_signaling_pathway__fly
Cellular_Processes.Cellular_community__eukaryotes.Focal_adhesion	L1__Cellular_Processes	L2__Cellular_community__eukaryotes	L3__Focal_adhesion
Environmental_Information_Processing.Signaling_molecules_and_interaction.ECM__receptor_interaction	L1__Environmental_Information_Processing	L2__Signaling_molecules_and_interaction	L3__ECM__receptor_interaction
Environmental_Information_Processing.Signaling_molecules_and_interaction.Cell_adhesion_molecules	L1__Environmental_Information_Processing	L2__Signaling_molecules_and_interaction	L3__Cell_adhesion_molecules
Cellular_Processes.Cellular_community__eukaryotes.Adherens_junction	L1__Cellular_Processes	L2__Cellular_community__eukaryotes	L3__Adherens_junction
Cellular_Processes.Cellular_community__eukaryotes.Tight_junction	L1__Cellular_Processes	L2__Cellular_community__eukaryotes	L3__Tight_junction
Cellular_Processes.Cellular_community__eukaryotes.Gap_junction	L1__Cellular_Processes	L2__Cellular_community__eukaryotes	L3__Gap_junction
Organismal_Systems.Immune_system.Complement_and_coagulation_cascades	L1__Organismal_Systems	L2__Immune_system	L3__Complement_and_coagulation_cascades
Organismal_Systems.Immune_system.Platelet_activation	L1__Organismal_Systems	L2__Immune_system	L3__Platelet_activation
Organismal_Systems.Immune_system.Antigen_processing_and_presentation	L1__Organismal_Systems	L2__Immune_system	L3__Antigen_processing_and_presentation
Organismal_Systems.Immune_system.Neutrophil_extracellular_trap_formation	L1__Organismal_Systems	L2__Immune_system	L3__Neutrophil_extracellular_trap_formation
Organismal_Systems.Immune_system.NOD__like_receptor_signaling_pathway	L1__Organismal_Systems	L2__Immune_system	L3__NOD__like_receptor_signaling_pathway
Organismal_Systems.Immune_system.RIG__I__like_receptor_signaling_pathway	L1__Organismal_Systems	L2__Immune_system	L3__RIG__I__like_receptor_signaling_pathway
Organismal_Systems.Immune_system.Toll_and_Imd_signaling_pathway	L1__Organismal_Systems	L2__Immune_system	L3__Toll_and_Imd_signaling_pathway
Organismal_Systems.Immune_system.IL__17_signaling_pathway	L1__Organismal_Systems	L2__Immune_system	L3__IL__17_signaling_pathway
Organismal_Systems.Immune_system.Th1_and_Th2_cell_differentiation	L1__Organismal_Systems	L2__Immune_system	L3__Th1_and_Th2_cell_differentiation
Organismal_Systems.Immune_system.B_cell_receptor_signaling_pathway	L1__Organismal_Systems	L2__Immune_system	L3__B_cell_receptor_signaling_pathway
Environmental_Information_Processing.Signal_transduction.TNF_signaling_pathway	L1__Environmental_Information_Processing	L2__Signal_transduction	L3__TNF_signaling_pathway
Organismal_Systems.Immune_system.Leukocyte_transendothelial_migration	L1__Organismal_Systems	L2__Immune_system	L3__Leukocyte_transendothelial_migration
Organismal_Systems.Environmental_adaptation.Circadian_entrainment	L1__Organismal_Systems	L2__Environmental_adaptation	L3__Circadian_entrainment
Organismal_Systems.Environmental_adaptation.Thermogenesis	L1__Organismal_Systems	L2__Environmental_adaptation	L3__Thermogenesis
Organismal_Systems.Nervous_system.Synaptic_vesicle_cycle	L1__Organismal_Systems	L2__Nervous_system	L3__Synaptic_vesicle_cycle
Organismal_Systems.Nervous_system.Glutamatergic_synapse	L1__Organismal_Systems	L2__Nervous_system	L3__Glutamatergic_synapse
Organismal_Systems.Nervous_system.Serotonergic_synapse	L1__Organismal_Systems	L2__Nervous_system	L3__Serotonergic_synapse
Organismal_Systems.Nervous_system.GABAergic_synapse	L1__Organismal_Systems	L2__Nervous_system	L3__GABAergic_synapse
Organismal_Systems.Nervous_system.Long__term_depression	L1__Organismal_Systems	L2__Nervous_system	L3__Long__term_depression
Organismal_Systems.Sensory_system.Olfactory_transduction	L1__Organismal_Systems	L2__Sensory_system	L3__Olfactory_transduction
Cellular_Processes.Cell_motility.Regulation_of_actin_cytoskeleton	L1__Cellular_Processes	L2__Cell_motility	L3__Regulation_of_actin_cytoskeleton
Organismal_Systems.Endocrine_system.Insulin_signaling_pathway	L1__Organismal_Systems	L2__Endocrine_system	L3__Insulin_signaling_pathway
Organismal_Systems.Endocrine_system.Insulin_secretion	L1__Organismal_Systems	L2__Endocrine_system	L3__Insulin_secretion
Organismal_Systems.Endocrine_system.Ovarian_steroidogenesis	L1__Organismal_Systems	L2__Endocrine_system	L3__Ovarian_steroidogenesis
Organismal_Systems.Endocrine_system.Progesterone__mediated_oocyte_maturation	L1__Organismal_Systems	L2__Endocrine_system	L3__Progesterone__mediated_oocyte_maturation
Organismal_Systems.Endocrine_system.Estrogen_signaling_pathway	L1__Organismal_Systems	L2__Endocrine_system	L3__Estrogen_signaling_pathway
Organismal_Systems.Endocrine_system.Thyroid_hormone_synthesis	L1__Organismal_Systems	L2__Endocrine_system	L3__Thyroid_hormone_synthesis
Organismal_Systems.Endocrine_system.Thyroid_hormone_signaling_pathway	L1__Organismal_Systems	L2__Endocrine_system	L3__Thyroid_hormone_signaling_pathway
Organismal_Systems.Endocrine_system.Adipocytokine_signaling_pathway	L1__Organismal_Systems	L2__Endocrine_system	L3__Adipocytokine_signaling_pathway
Organismal_Systems.Endocrine_system.Oxytocin_signaling_pathway	L1__Organismal_Systems	L2__Endocrine_system	L3__Oxytocin_signaling_pathway
Organismal_Systems.Endocrine_system.Glucagon_signaling_pathway	L1__Organismal_Systems	L2__Endocrine_system	L3__Glucagon_signaling_pathway
Organismal_Systems.Endocrine_system.Regulation_of_lipolysis_in_adipocytes	L1__Organismal_Systems	L2__Endocrine_system	L3__Regulation_of_lipolysis_in_adipocytes
Organismal_Systems.Endocrine_system.Renin_secretion	L1__Organismal_Systems	L2__Endocrine_system	L3__Renin_secretion
Organismal_Systems.Endocrine_system.Aldosterone_synthesis_and_secretion	L1__Organismal_Systems	L2__Endocrine_system	L3__Aldosterone_synthesis_and_secretion
Organismal_Systems.Endocrine_system.Relaxin_signaling_pathway	L1__Organismal_Systems	L2__Endocrine_system	L3__Relaxin_signaling_pathway
Organismal_Systems.Endocrine_system.Parathyroid_hormone_synthesis,_secretion_and_action	L1__Organismal_Systems	L2__Endocrine_system	L3__Parathyroid_hormone_synthesis,_secretion_and_action
Human_Diseases.Endocrine_and_metabolic_disease.Type_II_diabetes_mellitus	L1__Human_Diseases	L2__Endocrine_and_metabolic_disease	L3__Type_II_diabetes_mellitus
Human_Diseases.Endocrine_and_metabolic_disease.Insulin_resistance	L1__Human_Diseases	L2__Endocrine_and_metabolic_disease	L3__Insulin_resistance
Human_Diseases.Endocrine_and_metabolic_disease.Alcoholic_liver_disease	L1__Human_Diseases	L2__Endocrine_and_metabolic_disease	L3__Alcoholic_liver_disease
Human_Diseases.Endocrine_and_metabolic_disease.Type_I_diabetes_mellitus	L1__Human_Diseases	L2__Endocrine_and_metabolic_disease	L3__Type_I_diabetes_mellitus
Organismal_Systems.Excretory_system.Aldosterone__regulated_sodium_reabsorption	L1__Organismal_Systems	L2__Excretory_system	L3__Aldosterone__regulated_sodium_reabsorption
Organismal_Systems.Excretory_system.Endocrine_and_other_factor__regulated_calcium_reabsorption	L1__Organismal_Systems	L2__Excretory_system	L3__Endocrine_and_other_factor__regulated_calcium_reabsorption
Organismal_Systems.Excretory_system.Vasopressin__regulated_water_reabsorption	L1__Organismal_Systems	L2__Excretory_system	L3__Vasopressin__regulated_water_reabsorption
Organismal_Systems.Excretory_system.Proximal_tubule_bicarbonate_reclamation	L1__Organismal_Systems	L2__Excretory_system	L3__Proximal_tubule_bicarbonate_reclamation
Organismal_Systems.Digestive_system.Salivary_secretion	L1__Organismal_Systems	L2__Digestive_system	L3__Salivary_secretion
Organismal_Systems.Digestive_system.Gastric_acid_secretion	L1__Organismal_Systems	L2__Digestive_system	L3__Gastric_acid_secretion
Organismal_Systems.Digestive_system.Pancreatic_secretion	L1__Organismal_Systems	L2__Digestive_system	L3__Pancreatic_secretion
Organismal_Systems.Digestive_system.Carbohydrate_digestion_and_absorption	L1__Organismal_Systems	L2__Digestive_system	L3__Carbohydrate_digestion_and_absorption
Organismal_Systems.Digestive_system.Protein_digestion_and_absorption	L1__Organismal_Systems	L2__Digestive_system	L3__Protein_digestion_and_absorption
Organismal_Systems.Digestive_system.Fat_digestion_and_absorption	L1__Organismal_Systems	L2__Digestive_system	L3__Fat_digestion_and_absorption
Organismal_Systems.Digestive_system.Bile_secretion	L1__Organismal_Systems	L2__Digestive_system	L3__Bile_secretion
Organismal_Systems.Digestive_system.Mineral_absorption	L1__Organismal_Systems	L2__Digestive_system	L3__Mineral_absorption
Organismal_Systems.Digestive_system.Cholesterol_metabolism	L1__Organismal_Systems	L2__Digestive_system	L3__Cholesterol_metabolism
Human_Diseases.Neurodegenerative_disease.Alzheimer_disease	L1__Human_Diseases	L2__Neurodegenerative_disease	L3__Alzheimer_disease
Human_Diseases.Neurodegenerative_disease.Parkinson_disease	L1__Human_Diseases	L2__Neurodegenerative_disease	L3__Parkinson_disease
Human_Diseases.Neurodegenerative_disease.Amyotrophic_lateral_sclerosis	L1__Human_Diseases	L2__Neurodegenerative_disease	L3__Amyotrophic_lateral_sclerosis
Human_Diseases.Neurodegenerative_disease.Huntington_disease	L1__Human_Diseases	L2__Neurodegenerative_disease	L3__Huntington_disease
Human_Diseases.Neurodegenerative_disease.Spinocerebellar_ataxia	L1__Human_Diseases	L2__Neurodegenerative_disease	L3__Spinocerebellar_ataxia
Human_Diseases.Neurodegenerative_disease.Prion_disease	L1__Human_Diseases	L2__Neurodegenerative_disease	L3__Prion_disease
Human_Diseases.Neurodegenerative_disease.Pathways_of_neurodegeneration__multiple_diseases	L1__Human_Diseases	L2__Neurodegenerative_disease	L3__Pathways_of_neurodegeneration__multiple_diseases
Human_Diseases.Substance_dependence.Cocaine_addiction	L1__Human_Diseases	L2__Substance_dependence	L3__Cocaine_addiction
Human_Diseases.Infectious_disease_bacterial.Bacterial_invasion_of_epithelial_cells	L1__Human_Diseases	L2__Infectious_disease_bacterial	L3__Bacterial_invasion_of_epithelial_cells
Cellular_Processes.Cellular_community__prokaryotes.Biofilm_formation__Vibrio_cholerae	L1__Cellular_Processes	L2__Cellular_community__prokaryotes	L3__Biofilm_formation__Vibrio_cholerae
Human_Diseases.Infectious_disease_bacterial.Pathogenic_Escherichia_coli_infection	L1__Human_Diseases	L2__Infectious_disease_bacterial	L3__Pathogenic_Escherichia_coli_infection
Human_Diseases.Infectious_disease_bacterial.Salmonella_infection	L1__Human_Diseases	L2__Infectious_disease_bacterial	L3__Salmonella_infection
Human_Diseases.Infectious_disease_bacterial.Pertussis	L1__Human_Diseases	L2__Infectious_disease_bacterial	L3__Pertussis
Human_Diseases.Infectious_disease_bacterial.Legionellosis	L1__Human_Diseases	L2__Infectious_disease_bacterial	L3__Legionellosis
Human_Diseases.Infectious_disease_parasitic.Chagas_disease	L1__Human_Diseases	L2__Infectious_disease_parasitic	L3__Chagas_disease
Human_Diseases.Infectious_disease_parasitic.Toxoplasmosis	L1__Human_Diseases	L2__Infectious_disease_parasitic	L3__Toxoplasmosis
